"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"1158";"1";492,321661937672;"Центральный рынок";"99, 92a, 77, 46, 1";NA;NA;NA;47,21824;39,71289;421332,21094577;2203880,33719286;5;0;0;0;5;60
"1096";"1";187,570299705484;"ул. Темерницкая";"92a, 77, 65, 46, 1";NA;"6";"92, 83, 65";47,22014;39,71877;421536,205649529;2204329,13692748;5;0;1;3;9;50
"554";"1";168,13368313904;"пл. Советов";"99, 92a, 90а, 90, 78, 77, 65, 58, 47, 46, 35а, 35, 33, 1";NA;"6";NA;47,22181;39,7191;421721,459709701;2204357,13961722;14;0;1;0;15;25
"863";"1";397,7006945924;"ул. Б. Садовая";"83, 22, 33, 42, 42а, 45, 46, 49, 5, 77, 1, 92a, 65";NA;"6";"45, 49, 65, 77, 83, 92";47,2232;39,71823;421877,058286447;2204293,75186761;13;0;1;6;20;41
"980";"1";333,599433162916;"ул. М. Горького";"65, 1, 5, 22, 33, 42, 42а, 45, 49, 77, 83, 92a, 46";NA;"6";"92, 45, 49, 65, 77, 83";47,22783;39,71625;422394,223266584;2204152,15088089;13;0;1;6;20;46
"967";"1";246,244647204803;"ул. Лермонтовская";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"47, 49, 65, 77, 83, 92";47,2317;39,71487;422826,161816403;2204054,63739031;14;0;1;6;21;45
"1155";"1";498,725637373487;"ЦГБ";"77, 5, 22, 33, 42, 42а, 45, 46, 1, 65, 83, 92a, 49";NA;"6";"45, 49, 65, 77, 83, 92";47,23437;39,71341;423124,793064653;2203948,91037132;13;0;1;6;20;58
"375";"1";730,945363576955;"Общежитие РИСИ";"99, 46, 47, 58, 65, 77, 78, 90, 90а, 35а, 92a, 35, 1, 33";NA;"6";"47, 49, 65, 77, 83, 92, 25";47,23933;39,71357;423676,015756019;2203970,0009786;14;0;1;7;22;13
"1105";"1";286,451146825411;"ул. Турмалиновская";"83, 5, 22, 33, 42, 42а, 45, 46, 49, 1, 77, 92a, 65";NA;"6";"25, 45, 49, 65, 77, 83, 92";47,24611;39,7129;424430,597831553;2203931,54856572;13;0;1;7;21;52
"544";"1";351,516015110037;"пл. Ленина";"99, 96, 58, 35а, 35, 17, 1";NA;NA;"96, 58, 56, 49, 14";47,24969;39,7118;424829,956125058;2203854,76174867;7;0;0;5;12;24
"392";"1";470,558965076249;"пер. Ашхабадский";"94, 49, 42а, 42, 17, 5, 1";NA;NA;"14, 94, 58, 56, 49";47,24956;39,70573;424823,012411506;2203395,02901438;7;0;0;5;12;18
"397";"1";383,32902805303;"пер. Боевой";"2, 21, 22, 27, 45, 49, 83, 96, 99, 1";NA;NA;"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11";47,25298;39,70207;425207,770966412;2203124,21424798;10;0;0;13;23;19
"1192";"1";134,21090875293;"Школа";"94, 49, 42а, 42, 17, 5, 1";NA;NA;"94, 58, 56, 49, 14";47,24971;39,70048;424846,211766004;2202997,87999039;7;0;0;5;12;61
"692";"1";214,171488984112;"РГУПС";"94, 49, 1";NA;NA;"56";47,24981;39,69871;424859,534441866;2202864,07506176;3;0;0;1;4;27
"691";"1";356,440015255937;"РГУПС";"2, 21, 22, 27, 45, 49, 83, 96, 99, 1";NA;NA;"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11";47,2517;39,69818;425070,313434057;2202827,41664868;10;0;0;13;23;26
"1112";"1";427,950820503521;"ул. Цезаря Куникова";"99, 94, 78, 49, 27, 1";NA;NA;"99, 94, 78, 49, 44, 43, 23, 14, 11";47,25344;39,69422;425268,702444052;2202530,85542794;6;0;0;9;15;54
"1113";"1";638,917110975939;"ул. Цезаря Куникова";"49, 27, 1, 99, 96, 83";NA;NA;"99, 96, 78, 49, 44, 43, 23, 14, 11";47,25673;39,69715;425630,802049395;2202758,6713132;6;0;0;9;15;55
"509";"1";392,038943150679;"пл. 2-й Пятилетки";"99, 94, 78, 49, 27, 1";NA;NA;"99, 94, 78, 49, 44, 43, 23, 14, 11";47,25977;39,68942;425978,448344487;2202179,19950327;6;0;0;9;15;21
"955";"1";147,35404363861;"ул. Куликовская";"99, 96, 83, 49, 1";NA;NA;"99, 96, 78, 49, 44, 43, 14, 11";47,26192;39,68531;426222,641308879;2201872,11240608;5;0;0;8;13;43
"878";"1";481,168245737643;"ул. Вавилова";"99, 96, 94, 49, 1";NA;NA;"14, 99, 96, 94, 49, 43";47,26189;39,68336;426221,764489419;2201724,47688046;5;0;0;6;11;42
"120";"1";569,126268751387;"Баня";"99, 96, 94, 49, 1";NA;NA;"99, 96, 94, 49, 43, 14";47,26612;39,68205;426693,683111261;2201633,18113114;5;0;0;6;11;1
"503";"1";489,477196577076;"пер. Чалтырский";"99, 96, 94, 49, 1";NA;NA;"99, 96, 94, 49, 43, 14";47,26441;39,67495;426512,567158281;2201092,69158566;5;0;0;6;11;20
"194";"1";553,370817638763;"Госпиталь";"99, 96, 94, 49, 1";NA;NA;"99, 96, 94, 49, 43, 14";47,26003;39,67552;426024,902686391;2201127,66172593;5;0;0;6;11;2
"387";"1";67,6216892021696;"пер. Авиамоторный";"94, 49, 1, 99, 96";NA;NA;"99, 96, 94, 49, 43, 14";47,26321;39,66989;426385,596386402;2200707,51159655;5;0;0;6;11;16
"1074";"1";300,622857190435;"ул. Северо-Кавказская";"99, 96, 94, 49, 1";NA;NA;"99, 96, 94, 49, 43, 14";47,26266;39,66951;426324,935319438;2200677,72293574;5;0;0;6;11;49
"281";"1";264,083070570784;"Кафе ""Полет""";"10, 1";NA;NA;"43, 10";47,26437;39,66643;426518,974259687;2200447,83625226;2;0;0;2;4;7
"1154";"1";360,088277762698;"Хоз. магазин";"10, 1";NA;NA;"43, 10";47,26695;39,66584;426806,556739213;2200408,03227732;2;0;0;2;4;57
"1097";"1";33,6111996125403;"ул. Тимошенко";"10, 1";NA;NA;"43, 10";47,27014;39,66505;427162,211555489;2200354,24522656;2;0;0;2;4;51
"1032";"1";416,582163302428;"ул. Оганова, 23";"10, 1";NA;NA;"43, 14, 10";47,27038;39,66478;427189,238746231;2200334,26547759;2;0;0;3;5;48
"771";"1";411,5947872588;"Сады СКВО";"10, 1";NA;NA;"43, 10";47,27481;39,66431;427682,340493416;2200307,03263437;2;0;0;2;4;37
"202";"1";476,779919268489;"ГСК «Авиатор»";"10, 1";NA;NA;"43, 10";47,27864;39,66358;428109,071393296;2200259,00621173;2;0;0;2;4;4
"378";"1";321,581611935188;"Октября";"10, 1";NA;NA;"43, 10";47,2829;39,66271;428583,787317887;2200201,2067076;2;0;0;2;4;15
"753";"1";289,089836299024;"С/т ""Спутник""";"10, 1";NA;NA;"43, 10";47,28579;39,66195;428906,054694204;2200149,15747922;2;0;0;2;4;35
"742";"1";465,567474499936;"С/т ""Братство""";"10, 1";NA;NA;"43, 10";47,28842;39,66155;429198,955644494;2200123,85637818;2;0;0;2;4;28
"745";"1";479,961532768711;"С/т ""Вираж""";"27, 18п, 18л, 10, 1";NA;NA;"43, 10";47,29329;39,66077;429741,374751305;2200074,04081412;5;0;0;2;7;31
"748";"1";347,899743362108;"С/т ""Салют""";"27, 18п, 18л, 10, 1";NA;NA;"43, 10";47,2959;39,66603;430024,80193946;2200476,79689887;5;0;0;2;7;32
"755";"1";555,974367156895;"С/т ""Энергия""";"27, 18п, 18л, 10, 1";NA;NA;"43, 10";47,29723;39,6702;430167,341455691;2200794,67993214;5;0;0;2;7;36
"271";"1";404,740565255558;"Каменские сады";"27, 18п, 18л, 10, 1";NA;NA;"43, 10";47,29736;39,67764;430172,340112813;2201357,62138614;5;0;0;2;7;5
"332";"1";273,845947351532;"Магазин";"27, 18п, 18л, 10, 1";NA;NA;"43, 10";47,3012;39,677;430600,060932592;2201316,37320396;5;0;0;2;7;9
"795";"1";1626,11164214051;"Совхоз СКВО";"27, 18п, 18л, 10, 1";NA;NA;"43, 10";47,30367;39,67705;430874,598453554;2201324,75747654;5;0;0;2;7;39
"347";"1";828,846453957413;"мкр. Суворовский";"27, 18п, 18л, 1";NA;NA;"43, 10";47,31803;39,6731;432476,08041463;2201052,89403377;4;0;0;2;6;10
"348";"1";NA;"мкр. Суворовский";"27, 18п, 18л, 10, 1";NA;NA;"43, 10";47,31965;39,68382;432642,609671739;2201866,35116844;5;0;0;2;7;11
"588";"2";114,196103683399;"пос. Автосборочный";"2";NA;NA;NA;47,26436;39,74022;426426,195116865;2206032,13973213;1;0;0;0;1;19
"58";"2";161,597545624008;"6-й переулок";"2";NA;NA;NA;47,26405;39,73857;426393,723177873;2205906,71979369;1;0;0;0;1;3
"48";"2";272,075547267453;"3-й переулок";"2";NA;NA;NA;47,2634;39,73643;426324,047602352;2205743,61101096;1;0;0;0;1;1
"329";"2";301,178606752575;"Магазин";"2";NA;NA;NA;47,2632;39,73255;426306,515490344;2205449,61589571;1;0;0;0;1;7
"429";"2";511,953209940817;"пер. Кольский";"2";NA;NA;NA;47,26415;39,72873;426416,774934825;2205162,21642785;1;0;0;0;1;13
"1020";"2";536,043804817289;"ул. Нариманова";"18п, 83, 92a, 77, 90а, 2, 21, 22, 33, 45, 46, 47, 63, 65, 90";NA;"6";"90, 47, 21, 25, 45, 56, 63, 65, 66, 83, 92, 77";47,26493;39,72051;426513,532179374;2204541,53999504;15;0;1;12;28;29
"826";"2";427,248057916357;"ТРЦ ""Горизонт""";"92a, 18п, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 2, 90а, 90";NA;"6";"21, 25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92";47,25983;39,7177;425949,993277756;2204319,68303993;15;0;1;12;28;22
"421";"2";486,318109723577;"пер. Забайкальский";"90а, 90, 47, 21, 2";NA;NA;"90, 47, 21";47,25669;39,71311;425606,555958808;2203966,60267621;5;0;0;3;8;11
"582";"2";433,086213181028;"Поликлиника";"90а, 90, 47, 21, 2";NA;NA;"90, 47, 21";47,25451;39,70648;425372,392127976;2203460,81312102;5;0;0;3;8;18
"391";"2";419,012507695226;"пер. Ашхабадский";"90а, 90, 47, 21, 2";NA;NA;"90, 47, 21";47,25062;39,70639;424940,038232139;2203446,92015433;5;0;0;3;8;9
"3971";"2";326,646526329814;"пер. Боевой";"2, 21, 22, 27, 45, 49, 83, 96, 99, 1";NA;NA;"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11";47,25298;39,70207;425207,770966412;2203124,21424798;10;0;0;13;23;10
"6911";"2";354,45938774497;"РГУПС";"2, 21, 22, 27, 45, 49, 83, 96, 99, 1";NA;NA;"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11";47,2517;39,69818;425070,313434057;2202827,41664868;10;0;0;13;23;21
"689";"2";58,2081823692269;"РГУПС";"99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а";NA;NA;"99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6";47,24862;39,69699;424729,383866054;2202731,69036906;12;0;0;12;24;20
"1180";"2";1060,5683202758;"Шеболдаева";"6, 5, 2, 27, 42, 42а, 45, 49, 83, 21, 22";NA;NA;"43, 6, 11, 21, 38, 44, 45, 58, 78, 90, 99, 23";47,24811;39,69716;424672,47314191;2202743,62458431;11;0;0;12;23;34
"292";"2";20,9265074965255;"Комсомольский парк";"99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а";NA;NA;"99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6";47,23868;39,69916;423621,612930724;2202877,76882503;12;0;0;12;24;5
"537";"2";179,136198102276;"пл. Комсомольская";"83, 49, 45, 42а, 42, 27, 22, 21, 6, 5, 2";NA;NA;NA;47,23855;39,69936;423606,911133935;2202892,6739839;11;0;0;0;11;16
"535";"2";320,193944637881;"пл. Комсомольская";"78, 6, 21, 27, 35, 35а, 47, 51, 2, 61, 90, 90а, 99, 58";NA;NA;"58, 6, 11, 21, 23, 38, 43, 44, 99, 90, 78, 47";47,23698;39,69988;423431,721097471;2202929,17436017;14;0;0;12;26;15
"1090";"2";378,4426221321;"ул. Текучева";"21, 99, 90, 90а, 78, 6, 27, 35, 35а, 47, 51, 58, 61, 2";NA;NA;"99, 21, 6, 11, 38, 43, 44, 47, 58, 90, 78";47,23349;39,7015;423041,709520378;2203045,46180448;14;0;0;11;25;31
"994";"2";498,406460798641;"ул. Малюгиной";"83, 5, 6, 9, 21, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60";NA;NA;"99, 6, 11, 12, 21, 38, 43, 44, 45, 58, 78, 90";47,22975;39,70346;422623,484954193;2203187,05717236;15;0;0;12;27;27
"987";"2";519,888306676651;"ул. Максима Горького";"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60";NA;NA;"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90";47,22512;39,70555;422106,159002276;2203336,8988369;14;0;0;11;25;25
"861";"2";109,469719952397;"ул. Б. Садовая";"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60";NA;NA;"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90";47,22066;39,70759;421607,79895394;2203483,29065336;14;0;0;11;25;24
"293";"2";309,078751330161;"Консерватория";"61, 6, 9, 27, 33, 35, 35а, 47, 51, 2, 60, 75, 90, 90а, 99, 78, 58";NA;NA;"12, 44, 43, 58, 78, 90, 99, 20, 11, 6, 47, 38";47,21968;39,70771;421498,70079121;2203490,59853433;17;0;0;12;29;6
"1162";"2";NA;"Центральный рынок";"60, 58, 35а, 35, 9, 2";NA;NA;NA;47,21773;39,71062;421278,314448621;2203707,47284783;6;0;0;0;6;33
"311";"3";606,516016075475;"Лесничество";"3";NA;NA;NA;47,28091;39,78466;428213,472254807;2209423,58884705;1;0;0;0;1;13
"310";"3";333,579484642862;"Лесная школа";"3";NA;NA;NA;47,27562;39,78225;427628,166222379;2209232,19925637;1;0;0;0;1;12
"1019";"3";335,003181166735;"ул. Мурманская";"3";NA;NA;NA;47,27239;39,78069;427270,892890204;2209108,62633447;1;0;0;0;1;47
"950";"3";280,348738744933;"ул. Конституционная";"3";NA;NA;NA;47,26932;39,77931;426931,19966786;2208998,9349587;1;0;0;0;1;44
"837";"3";227,652708583872;"ул. 12-го Декабря";"3";NA;NA;NA;47,2666;39,77787;426630,489632993;2208885,29275277;1;0;0;0;1;41
"1126";"3";598,082138089389;"ул. Щербакова";"42а, 42, 36, 35а, 35, 3а, 3";NA;NA;"59, 58, 24";47,26391;39,77607;426333,538734309;2208744,44663214;7;0;0;3;10;51
"205";"3";447,65889493133;"Детский комбинат";"96, 3а, 3, 28, 35, 35а, 36, 42, 42а, 54, 14, 89, 18л";NA;NA;"24, 29, 30, 58, 59, 63, 79, 96, 14";47,26131;39,76879;426053,041757072;2208188,9987729;13;0;0;9;22;8
"179";"3";213,373916456177;"Главная проходная РСМ";"89, 3а, 14, 18л, 28, 35, 35а, 36, 42, 3, 54, 96, 42а";NA;NA;"96, 14, 24, 29, 30, 58, 59, 63, 79";47,25797;39,76549;425685,615881038;2207933,44585205;13;0;0;9;22;5
"883";"3";219,439791351525;"ул. Веры Пановой";"98, 67, 54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25659;39,76745;425529,881096494;2208079,40203906;6;0;2;7;15;43
"1078";"3";182,441160032615;"ул. Сержантова";"54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25463;39,76776;425311,614499645;2208099,46955969;4;0;2;7;13;48
"779";"3";309,464543680213;"Сельмаш";"98, 67, 54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25445;39,76536;425294,437438249;2207917,49482293;6;0;2;7;15;39
"842";"3";150,66952800755;"ул. 1-й Конной Армии";"54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25169;39,76487;424988,177001063;2207875,6115872;4;0;2;7;13;42
"209";"3";743,286372295763;"ДК ""Ростсельмаш""";"98, 67, 54, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,2505;39,76392;424857,004075839;2207801,63123642;5;0;2;7;14;10
"647";"3";79,9393330297385;"пр. Сельмаш";"54, 3а, 3";NA;"5";"79, 66, 59, 40, 29, 24, 19";47,2439;39,76541;424121,495136921;2207902,96484515;3;0;1;7;11;30
"671";"3";289,613222819833;"Пригородный автовокзал";"3, 54, 67, 98, 3а, 7";NA;"1, 5, 9";"67, 19, 24, 29, 40, 52, 66, 79, 88, 93, 95, 59";47,24322;39,76507;424046,299013725;2207876,0434749;6;0;3;12;21;36
"670";"3";334,602914210588;"Пригородный автовокзал";"3а, 7, 54, 67, 98, 3";NA;"9, 1, 5";"59, 19, 24, 29, 52, 66, 67, 79, 88, 93, 95, 40";47,24182;39,76184;423894,480193367;2207629,06665746;6;0;3;12;21;35
"666";"3";335,945225048983;"пр. Шолохова";"98, 67, 54, 7, 3а, 3";NA;"9, 1";"66, 24, 19, 95, 79";47,23995;39,75808;423691,050129106;2207341,12852687;6;0;2;5;13;33
"1116";"3";451,083831442164;"ул. Ченцова";"98, 67, 54, 7, 3а, 3";NA;"9, 1";"95, 79, 66, 24, 19";47,23631;39,75959;423284,58385028;2207449,10787873;6;0;2;5;13;49
"532";"3";352,868398784235;"пл. К. Маркса";"98, 67, 7, 3а, 3";NA;"9, 1";"95, 79, 19";47,23136;39,76198;422731,439231257;2207621,46038836;5;0;2;3;10;21
"3";"3";461,048579616709;"13-я линия";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80";47,22966;39,75804;422547,122672904;2207320,13283216;7;0;4;2;13;1
"22";"3";141,470878099424;"1-я линия";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80";47,22856;39,75216;422431,841737296;2206872,9215532;7;0;4;2;13;2
"149";"3";173,026249066905;"Верхненольная";"3а, 3";NA;NA;"98, 80";47,22861;39,75029;422439,63673409;2206731,39483453;2;0;0;2;4;4
"38";"3";348,378114611346;"2-я линия";"3а, 3";NA;NA;"98, 80";47,23015;39,7506;422610,472725534;2206757,57607416;2;0;0;2;4;3
"559";"3";288,989588275828;"пл. Театральная";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80, 55";47,22774;39,74766;422346,066906287;2206530,69409318;7;0;4;3;14;23
"560";"3";365,467522141179;"пл. Театральная";"80, 70, 67, 7, 3а, 3, 98";NA;"22, 9, 2, 1";"98, 80";47,22764;39,74384;422339,538220136;2206241,2255552;7;0;4;2;13;24
"448";"3";173,784062666315;"пер. Нахичеванский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22663;39,73924;422232,797609248;2205891,07256008;7;0;4;0;11;17
"433";"3";403,019116391576;"пер. Крепостной";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22631;39,73699;422199,941587269;2205720,10631183;7;0;4;0;11;16
"632";"3";301,309381602775;"пр. Кировский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22515;39,73194;422077,102132302;2205335,58695651;7;0;4;0;11;29
"493";"3";285,271945633852;"пер. Университетский";"3, 98, 80, 70, 67, 7, 3а";NA;"22, 9, 2, 1";NA;47,22445;39,72809;422003,964414686;2205042,75709963;7;0;4;0;11;20
"663";"3";461,382549158693;"пр. Чехова";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22351;39,72352;421905,039724087;2204694,95853671;7;0;4;0;11;32
"625";"3";291,123399580576;"пр. Ворошиловский";"98, 80, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22225;39,7174;421772,463353477;2204229,17646834;8;0;4;0;12;27
"478";"3";402,059801230814;"пер. Семашко";"3, 98, 80, 70, 67, 33, 7, 3а";NA;"22, 9, 2, 1";NA;47,22146;39,71369;421689,201964836;2203946,75713121;8;0;4;0;12;18
"616";"3";191,728084641497;"пр. Буденновский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22023;39,70869;421558,633023869;2203565,82474383;7;0;4;0;11;25
"617";"3";393,398634049772;"пр. Буденновский";"98, 80, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,21984;39,70622;421518,334420981;2203378,03367013;8;0;4;0;12;26
"401";"3";356,369686669254;"пер. Братский";"98, 80, 75, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,21846;39,69954;421373,217962726;2202869,55290041;9;0;4;0;13;15
"673";"3";227,491312577056;"Пригородный ЖДВ";"3а, 7, 31, 33, 39, 70, 80, 3";NA;"22, 1, 2, 9";"55, 20, 38, 52, 58, 59, 67, 78, 90, 98, 99, 40";47,21788;39,69462;421314,880215892;2202495,82763464;8;0;4;12;24;38
"182";"3";123,093537538163;"Главный автовокзал";"33, 3";NA;"22, 9, 1";"78, 20";47,21979;39,69355;421528,559575994;2202418,29033115;2;0;3;2;7;6
"186";"3";NA;"Главный ЖДВ";"39, 31, 3а, 3";NA;NA;"58, 20";47,2199;39,69193;421542,817974246;2202295,79054373;4;0;0;2;6;7
"366";"3а";229,561654633972;"Областная туб. больница";"36, 28, 3а";NA;NA;"92, 90, 44";47,29033;39,7839;429261,62042569;2209382,20517738;3;0;0;3;6;15
"738";"3а";51,3580711234286;"Рынок ""Меркурий""";"36, 28, 3а";NA;NA;"92, 90";47,29239;39,78376;429490,803084673;2209375,14000012;3;0;0;2;5;51
"829";"3а";639,104410267675;"ТЦ ""Меркурий""";"36, 28, 3а";NA;NA;"92, 90";47,29284;39,78391;429540,657062104;2209387,25568807;3;0;0;2;5;57
"723";"3а";698,337681976547;"Рощинская";"69, 42а, 35а, 35, 3а";NA;NA;NA;47,29855;39,78532;430173,824327218;2209503,66327494;5;0;0;0;5;49
"669";"3а";566,340894273867;"Правление с/т ""Мичуринец""";"69a, 42а, 35а, 35, 3а";NA;NA;NA;47,29849;39,79483;430156,14155678;2210222,80295332;5;0;0;0;5;44
"747";"3а";346,244237542942;"С/т ""Мичуринец"", пос. Камышеваха";"35, 3а, 69a, 42а, 35а";NA;NA;NA;47,2985;39,80266;430148,252286892;2210815,00359761;5;0;0;0;5;53
"94";"3а";744,460470015687;"Аптека";"69, 42а, 35а, 35, 3а";NA;NA;NA;47,29528;39,80372;429789,055558579;2210889,75327562;5;0;0;0;5;5
"1147";"3а";545,195057217961;"Филиал часового завода ""Витязь""";"69a, 42а, 42, 35а, 35, 3а";NA;NA;"59, 58, 24";47,2885;39,80308;429036,0240684;2210829,93321345;6;0;0;3;9;73
"373";"3а";380,668864267704;"Общежитие";"69a, 42а, 42, 35а, 35, 3а";NA;NA;"59, 58, 24";47,28379;39,80083;428514,971431989;2210651,78991184;6;0;0;3;9;17
"244";"3а";425,956147998369;"Завод ""Алмаз""";"69a, 42а, 42, 35а, 35, 3а";NA;NA;"95, 93, 59, 58, 24";47,28152;39,8046;428258,285818698;2210933,1785692;6;0;0;5;11;13
"759";"3а";514,754848847132;"Сады";"35, 3а, 42а, 42";NA;NA;"93, 59, 58, 24";47,27781;39,80283;427847,854881222;2210793,02469138;4;0;0;4;8;54
"1054";"3а";172,857923305107;"ул. Панфиловцев";"42а, 42, 35а, 35, 3а";NA;NA;"59";47,27327;39,80005;427346,311943368;2210575,03047141;5;0;0;1;6;67
"970";"3а";280,615941483964;"ул. Лесозащитная";"42а, 42, 35а, 35, 3а";NA;NA;"59, 58, 24";47,27163;39,79888;427165,330342396;2210483,73132951;5;0;0;3;8;62
"491";"3а";335,128764575889;"пер. Туапсинский";"42а, 42, 35а, 35, 3а";NA;NA;"59, 24";47,2691;39,79639;426886,924761075;2210291,03516831;5;0;0;2;7;24
"1189";"3а";219,571840342894;"Школа";"42а, 42, 35а, 35, 3а";NA;NA;"59, 24";47,27073;39,79247;427072,661800033;2209997,16855888;5;0;0;2;7;75
"940";"3а";411,012931540788;"ул. Камская";"42а, 42, 36, 35а, 35, 28, 3а";NA;NA;"59, 58, 24";47,26989;39,78955;426982,654321282;2209774,78324922;7;0;0;3;10;60
"608";"3а";530,67300418756;"пр. 20-летия Октября";"42а, 42, 36, 35а, 35, 3а";NA;NA;"59, 58, 24";47,26706;39,78612;426672,010970577;2209510,40131832;6;0;0;3;9;32
"1014";"3а";278,88972965085;"ул. Молодежная";"42, 35, 3а";NA;NA;NA;47,26487;39,77948;426436,27610597;2209004,16103666;3;0;0;0;3;65
"11261";"3а";598,082138089389;"ул. Щербакова";"42а, 42, 36, 35а, 35, 3а, 3";NA;NA;"59, 58, 24";47,26391;39,77607;426333,538734309;2208744,44663214;7;0;0;3;10;71
"2051";"3а";447,65889493133;"Детский комбинат";"96, 3а, 3, 28, 35, 35а, 36, 42, 42а, 54, 14, 89, 18л";NA;NA;"24, 29, 30, 58, 59, 63, 79, 96, 14";47,26131;39,76879;426053,041757072;2208188,9987729;13;0;0;9;22;10
"1791";"3а";213,373916456177;"Главная проходная РСМ";"89, 3а, 14, 18л, 28, 35, 35а, 36, 42, 3, 54, 96, 42а";NA;NA;"96, 14, 24, 29, 30, 58, 59, 63, 79";47,25797;39,76549;425685,615881038;2207933,44585205;13;0;0;9;22;7
"8831";"3а";219,439791351525;"ул. Веры Пановой";"98, 67, 54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25659;39,76745;425529,881096494;2208079,40203906;6;0;2;7;15;59
"10781";"3а";182,441160032615;"ул. Сержантова";"54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25463;39,76776;425311,614499645;2208099,46955969;4;0;2;7;13;68
"7791";"3а";309,464543680213;"Сельмаш";"98, 67, 54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25445;39,76536;425294,437438249;2207917,49482293;6;0;2;7;15;56
"8421";"3а";150,66952800755;"ул. 1-й Конной Армии";"54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25169;39,76487;424988,177001063;2207875,6115872;4;0;2;7;13;58
"2091";"3а";743,286372295763;"ДК ""Ростсельмаш""";"98, 67, 54, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,2505;39,76392;424857,004075839;2207801,63123642;5;0;2;7;14;12
"6471";"3а";79,9393330297385;"пр. Сельмаш";"54, 3а, 3";NA;"5";"79, 66, 59, 40, 29, 24, 19";47,2439;39,76541;424121,495136921;2207902,96484515;3;0;1;7;11;38
"6711";"3а";289,613222819833;"Пригородный автовокзал";"3, 54, 67, 98, 3а, 7";NA;"1, 5, 9";"67, 19, 24, 29, 40, 52, 66, 79, 88, 93, 95, 59";47,24322;39,76507;424046,299013725;2207876,0434749;6;0;3;12;21;46
"6701";"3а";334,602914210588;"Пригородный автовокзал";"3а, 7, 54, 67, 98, 3";NA;"9, 1, 5";"59, 19, 24, 29, 52, 66, 67, 79, 88, 93, 95, 40";47,24182;39,76184;423894,480193367;2207629,06665746;6;0;3;12;21;45
"6661";"3а";335,945225048983;"пр. Шолохова";"98, 67, 54, 7, 3а, 3";NA;"9, 1";"66, 24, 19, 95, 79";47,23995;39,75808;423691,050129106;2207341,12852687;6;0;2;5;13;41
"11161";"3а";451,083831442164;"ул. Ченцова";"98, 67, 54, 7, 3а, 3";NA;"9, 1";"95, 79, 66, 24, 19";47,23631;39,75959;423284,58385028;2207449,10787873;6;0;2;5;13;69
