"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"7284";"89";378,227732228039;"Рынок ""Геркулес""";"89, 83, 78, 54, 33";NA;NA;"83, 78, 56, 25, 23";47,29298;39,73483;429614,518002085;2205675,18762636;5;0;0;5;10;19
"3132";"89";463,913214752822;"Лестница";"92a, 89, 54, 18л";NA;NA;"95, 79, 44, 29";47,29;39,73768;429279,76899191;2205885,4607937;4;0;0;4;8;9
"11872";"89";332,885952553523;"Школа";"92a, 89, 54, 18л";NA;NA;"95, 79, 44, 29";47,28665;39,74293;428901,001630802;2206276,65513525;4;0;0;4;8;36
"4502";"89";389,908530878103;"пер. Обский";"92a, 89, 54, 18л";NA;NA;"95, 79, 44, 29";47,285;39,74742;428712,168790213;2206613,4012347;4;0;0;4;8;13
"4761";"89";179,647791849607;"пер. Сальский";"92a, 89, 54";NA;NA;"95, 44, 29";47,2841;39,75241;428606,138883035;2206989,31102051;3;0;0;3;6;14
"4132";"89";473,137511947993;"пер. Днепровский";"90а, 90, 89, 54, 18л";NA;NA;"90, 79, 44, 95, 92";47,283;39,756;428479,564825978;2207258,97105735;5;0;0;5;10;10
"7983";"89";346,42614653151;"Соловушки";"90, 89, 69, 54, 18л";NA;NA;"95, 92, 90, 79, 44";47,28125;39,76289;428276,826120436;2207777,16829949;5;0;0;5;10;26
"8924";"89";35,6227682933217;"ул. Вятская";"89, 69a, 54, 22, 18п";NA;NA;"95, 92, 90, 79, 44";47,28037;39,76729;428173,790689141;2208108,52258758;5;0;0;5;10;29
"8532";"89";613,487554601312;"ул. 50-летия РСМ";"89, 69, 54";NA;NA;"95, 92, 90, 44";47,28019;39,76768;428153,319125631;2208137,71633301;3;0;0;4;7;28
"2453";"89";468,985723933767;"Завод ""Копнитель""";"90, 89, 54, 28, 18л";NA;NA;"79";47,275;39,76387;427580,826512433;2207840,44109728;5;0;0;1;6;6
"7832";"89";367,431971796279;"СИ и ТО";"94, 89, 54, 18п";NA;NA;"94, 79, 30, 29, 19";47,27069;39,76212;427103,738310461;2207700,52470867;4;0;0;5;9;24
"6942";"89";293,10153223904;"РЗНО";"94, 89, 54, 18п";NA;NA;"94, 79, 30, 29";47,26732;39,76254;426728,583823163;2207726,44003229;4;0;0;4;8;17
"7303";"89";330,71646942543;"Рынок ""Донской""";"96, 89, 54, 28, 18л";NA;NA;"96, 79, 30, 29";47,26615;39,76667;426593,625220822;2208036,94611823;5;0;0;4;9;21
"9510";"89";342,991054570899;"АРМ";"96, 89, 54, 28, 18л";NA;NA;"96, 79, 30, 29";47,26425;39,77017;426378,26766526;2208298,52638528;5;0;0;4;9;1
"20511";"89";447,65889493133;"Детский комбинат";"96, 3а, 3, 28, 35, 35а, 36, 42, 42а, 54, 14, 89, 18л";NA;NA;"24, 29, 30, 58, 59, 63, 79, 96, 14";47,26131;39,76879;426053,041757072;2208188,9987729;13;0;0;9;22;4
"17911";"89";228,351281958557;"Главная проходная РСМ";"89, 3а, 14, 18л, 28, 35, 35а, 36, 42, 3, 54, 96, 42а";NA;NA;"96, 14, 24, 29, 30, 58, 59, 63, 79";47,25797;39,76549;425685,615881038;2207933,44585205;13;0;0;9;22;3
"7821";"89";NA;"Сельмаш";"89, 18п";NA;NA;NA;47,25599;39,7647;425466,425597602;2207870,21278121;2;0;0;0;2;23
"4133";"90";555,591409866807;"пер. Днепровский";"90а, 90, 89, 54, 18л";NA;NA;"90, 79, 44, 95, 92";47,283;39,756;428479,564825978;2207258,97105735;5;0;0;5;10;9
"7984";"90";458,842387655485;"Соловушки";"90, 89, 69, 54, 18л";NA;NA;"95, 92, 90, 79, 44";47,28125;39,76289;428276,826120436;2207777,16829949;5;0;0;5;10;24
"2471";"90";602,586151571028;"Завод ""Решета""";"90, 18л";NA;NA;"79";47,27947;39,76837;428072,459794051;2208188,67158397;2;0;0;1;3;3
"2454";"90";358,616979043983;"Завод ""Копнитель""";"90, 89, 54, 28, 18л";NA;NA;"79";47,275;39,76387;427580,826512433;2207840,44109728;5;0;0;1;6;2
"785";"90";454,396501685582;"СИ и ТО";"90";NA;NA;NA;47,2723;39,76128;427283,724616925;2207639,76760507;1;0;0;0;1;23
"2271";"90";571,827504986513;"Домики";"94, 90";NA;NA;"94, 30, 29, 19";47,27418;39,75594;427499,079145695;2207238,99410564;2;0;0;4;6;1
"569";"90";201,13346669175;"пл. Чкалова";"90а, 90";NA;NA;"92, 90";47,27524;39,74851;427625,801000317;2206678,67194142;2;0;0;2;4;18
"268";"90";81,4284430230524;"Казахская";"90а, 90";NA;NA;"92, 90";47,27353;39,74765;427436,724130022;2206610,58856149;2;0;0;2;4;4
"4721";"90";417,38821248109;"пер. Сальский";"90а, 90, 22";NA;NA;"92, 90";47,27316;39,74672;427396,705390844;2206539,56712401;3;0;0;2;5;13
"4521";"90";398,03455279353;"пер. Обский";"90а, 90, 22";NA;NA;"92, 90";47,27479;39,74051;427585,390746255;2206072,56918296;3;0;0;2;5;12
"5951";"90";389,075036002689;"пос. Мирный";"90а, 90, 22";NA;NA;"92, 90";47,27485;39,73464;427599,158007558;2205628,52960905;3;0;0;2;5;20
"8051";"90";462,976088673054;"Стадион СКА";"90а, 90, 22";NA;NA;"92, 90";47,27315;39,72807;427418,144804278;2205128,37632027;3;0;0;2;5;26
"11091";"90";215,136923108908;"ул. Фурмановская";"90а, 90, 22";NA;NA;"92, 90";47,27157;39,7224;427249,412751552;2204696,50877253;3;0;0;2;5;39
"110811";"90";498,978224812249;"ул. Фурмановская";"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 90, 18п, 90а";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21";47,27054;39,71999;427137,855531933;2204512,29266777;14;0;1;12;27;38
"102211";"90";155,576750919637;"ул. Нариманова";"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 78, 90, 18л, 90а";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21";47,26617;39,72146;426650,22397021;2204615,66480817;14;0;1;12;27;35
"102012";"90";536,043804817289;"ул. Нариманова";"18п, 83, 92a, 77, 90а, 2, 21, 22, 33, 45, 46, 47, 63, 65, 90";NA;"6";"90, 47, 21, 25, 45, 56, 63, 65, 66, 83, 92, 77";47,26493;39,72051;426513,532179374;2204541,53999504;15;0;1;12;28;34
"82612";"90";440,465422259162;"ТРЦ ""Горизонт""";"92a, 18п, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 2, 90а, 90";NA;"6";"21, 25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92";47,25983;39,7177;425949,993277756;2204319,68303993;15;0;1;12;28;27
"8958";"90";224,309432932046;"ул. Герасименко";"65, 18л, 33, 46, 63, 77, 78, 90, 90а, 92a, 47";NA;"6";"63, 65, 25, 47, 56, 92, 83, 77, 66";47,25606;39,71593;425533,043862274;2204178,9089394;11;0;1;9;21;29
"4213";"90";709,266161443488;"пер. Забайкальский";"90а, 90, 47, 21, 2";NA;NA;"90, 47, 21";47,25669;39,71311;425606,555958808;2203966,60267621;5;0;0;3;8;10
"5438";"90";493,478716045482;"пл. Ленина";"92a, 46, 47, 63, 65, 77, 78, 90, 90а, 18л, 33";NA;"6";"47, 56, 63, 65, 66, 77, 83, 92, 25";47,25032;39,71291;424898,626247647;2203939,92903956;11;0;1;9;21;15
"110610";"90";733,61479597129;"ул. Турмалиновская";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"25, 47, 49, 65, 77, 83, 92";47,24589;39,71315;424405,831424119;2203950,07643592;14;0;1;7;22;37
"3913";"90";433,086213181028;"пер. Ашхабадский";"90а, 90, 47, 21, 2";NA;NA;"90, 47, 21";47,25062;39,70639;424940,038232139;2203446,92015433;5;0;0;3;8;8
"5823";"90";1772,73326405672;"Поликлиника";"90а, 90, 47, 21, 2";NA;NA;"90, 47, 21";47,25451;39,70648;425372,392127976;2203460,81312102;5;0;0;3;8;19
"37510";"90";614,007589148365;"Общежитие РИСИ";"99, 46, 47, 58, 65, 77, 78, 90, 90а, 35а, 92a, 35, 1, 33";NA;"6";"47, 49, 65, 77, 83, 92, 25";47,23933;39,71357;423676,015756019;2203970,0009786;14;0;1;7;22;7
"115610";"90";246,244647204803;"ЦГБ";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"25, 47, 49, 65, 77, 83, 92";47,23382;39,71394;423062,994607226;2203988,04778962;14;0;1;7;22;40
"96710";"90";582,402331108087;"ул. Лермонтовская";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"47, 49, 65, 77, 83, 92";47,2317;39,71487;422826,161816403;2204054,63739031;14;0;1;6;21;30
"98110";"90";564,051885670105;"ул. М. Горького";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"47, 49, 65, 77, 83, 92";47,22668;39,71704;422265,402809142;2204209,90318717;14;0;1;6;21;31
"55410";"90";668,248765225683;"пл. Советов";"99, 92a, 90а, 90, 78, 77, 65, 58, 47, 46, 35а, 35, 33, 1";NA;"6";NA;47,22181;39,7191;421721,459709701;2204357,13961722;14;0;1;0;15;16
"11602";"90";377,799651110159;"Центральный рынок";"90а, 90, 65, 47";NA;"6";"65";47,21811;39,71214;421318,683584247;2203823,29351268;4;0;1;1;6;41
"29314";"90";668,133124472512;"Консерватория";"61, 6, 9, 27, 33, 35, 35а, 47, 51, 2, 60, 75, 90, 90а, 99, 78, 58";NA;NA;"12, 44, 43, 58, 78, 90, 99, 20, 11, 6, 47, 38";47,21968;39,70771;421498,70079121;2203490,59853433;17;0;0;12;29;6
"98812";"90";560,855514629294;"ул. Максима Горького";"6, 99, 2, 90а, 9, 27, 35, 35а, 51, 58, 60, 61, 78, 90, 47";NA;NA;"78, 6, 11, 12, 38, 43, 44, 99, 58, 90, 47";47,22541;39,70508;422138,982230391;2203301,83178342;15;0;0;11;26;32
"99513";"90";378,4426221321;"ул. Малюгиной";"35а, 2, 6, 9, 21, 35, 47, 51, 58, 61, 78, 90, 90а, 99, 60, 27";NA;NA;"6, 43, 44, 47, 58, 78, 90, 99, 11, 38, 21, 12";47,23023;39,70292;422677,519052909;2203147,03985433;16;0;0;12;28;33
"109011";"90";407,344472266779;"ул. Текучева";"21, 99, 90, 90а, 78, 6, 27, 35, 35а, 47, 51, 58, 61, 2";NA;NA;"99, 21, 6, 11, 38, 43, 44, 47, 58, 90, 78";47,23349;39,7015;423041,709520378;2203045,46180448;14;0;0;11;25;36
"53511";"90";196,911976364627;"пл. Комсомольская";"78, 6, 21, 27, 35, 35а, 47, 51, 2, 61, 90, 90а, 99, 58";NA;NA;"58, 6, 11, 21, 23, 38, 43, 44, 99, 90, 78, 47";47,23698;39,69988;423431,721097471;2202929,17436017;14;0;0;12;26;14
"2929";"90";1118,6021563851;"Комсомольский парк";"99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а";NA;NA;"99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6";47,23868;39,69916;423621,612930724;2202877,76882503;12;0;0;12;24;5
"6899";"90";NA;"РГУПС";"99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а";NA;NA;"99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6";47,24862;39,69699;424729,383866054;2202731,69036906;12;0;0;12;24;22
"7941";"90а";411,34241881677;"Совхоз ""Декоративные культуры""";"90а, 36";NA;NA;NA;47,31249;39,79586;431711,402850185;2210324,41981569;2;0;0;0;2;44
"7611";"90а";25,7866502666963;"Сады";"90а, 36";NA;NA;NA;47,31247;39,79041;431715,473853122;2209912,31056918;2;0;0;0;2;43
"5911";"90а";356,599841337917;"пос. Камышеваха";"90а, 36";NA;NA;NA;47,31241;39,79008;431709,185412446;2209887,25706493;2;0;0;0;2;34
"7115";"90а";551,411757148184;"Ростовское море";"92a, 90а, 69a, 69, 42а, 36, 35а";NA;NA;"92, 90";47,31295;39,78475;431775,405412461;2209485,17803292;7;0;0;2;9;39
"3535";"90а";364,02725671424;"Насосная";"92a, 90а, 69a, 69, 42а, 36, 35а";NA;NA;"92, 90";47,30787;39,78382;431211,718695435;2209406,16709186;7;0;0;2;9;14
"7415";"90а";655,678753910026;"С/о ""Виноградарь""";"92a, 90а, 69a, 69, 42а, 36, 35а";NA;NA;"92, 90";47,30457;39,78363;430845,062757528;2209386,15163498;7;0;0;2;9;42
"7216";"90а";66,5962037009737;"Рощинская";"92a, 90а, 69a, 69, 42а, 36, 35а, 28";NA;NA;"92, 90";47,29868;39,78359;430190,289765113;2209373,04586541;8;0;0;2;10;40
"10481";"90а";230,26090120877;"ул. Орская";"92a, 90а, 69";NA;NA;NA;47,29852;39,78274;430173,491779978;2209308,48650126;3;0;0;0;3;56
"6910";"90а";338,574757917326;"8-й участок";"92a, 90а, 69a, 35";NA;NA;NA;47,29837;39,7793;430160,829213194;2209048,06155048;4;0;0;0;4;6
"652";"90а";511,098940597684;"7-й участок";"92a, 90а, 69a, 35";NA;NA;NA;47,2984;39,77475;430169,490838465;2208703,99568409;4;0;0;0;4;4
"603";"90а";705,373555397009;"6-й участок";"92a, 90а, 69, 35";NA;NA;NA;47,29853;39,76764;430192,306980597;2208166,49052509;4;0;0;0;4;1
"713";"90а";554,41449875634;"c/т Садовод, 2-й участок";"92a, 90а, 69, 35";NA;NA;NA;47,29848;39,75819;430197,940133475;2207451,69983327;4;0;0;0;4;8
"1672";"90а";508,824757814694;"Гаражи";"92a, 90а, 69, 22";NA;NA;NA;47,29343;39,75722;429637,662069568;2207369,5062998;4;0;0;0;4;10
"5862";"90а";230,442480632001;"Поликлиника №4";"92a, 90а, 69, 22";NA;NA;NA;47,28817;39,75718;429052,931737584;2207357,2815988;4;0;0;0;4;33
"3813";"90а";348,329180927623;"Пединститут";"92a, 90а, 69a, 22";NA;NA;NA;47,28599;39,75736;428810,357282348;2207367,08584258;4;0;0;0;4;17
"4154";"90а";983,267330990647;"пер. Днепровский";"92a, 90а, 89, 54, 22, 18п";NA;NA;"95, 92, 90, 79, 44";47,28352;39,75463;428539,008195955;2207156,23886759;6;0;0;5;11;21
