object_name;bus;tram;trolleybus;shuttle_bus;latitude_1;longitude_1;latitude_2;longitude_2
"Авторынок ""Алмаз""";;;;95, 93;47.27297;39.82377;427285,9934;2212369,335
"Авторынок ""Фортуна""";96, 94;;;96, 94, 71, 40, 16, 10;47.23304;39.614;423104,2607;2196418,867
"Авторынок ""Фортуна""";96, 94;;;96, 94, 71, 40, 16, 10;47.23313;39.61342;423115,0373;2196375,123
Автостоянка;6;;;59, 55, 6;47.22514;39.62739;422208,2851;2197417,535
Автостоянка;26, 6;;;59, 55, 40, 6;47.2249;39.62698;422182,1433;2197386,02
Автостоянка;6;;;56, 6;47.24683;39.66612;424569,3864;2200391,441
Автостоянка;6;;;56;47.24683;39.66639;424569,0413;2200411,881
АЗС;31;;;73;47.20072;39.70781;419390,7397;2203463,724
Аквадар;36, 28;;;92, 90, 44;47.28494;39.78134;428665,3727;2209179,322
Аквадар;36, 28;;;92, 90, 44;47.28531;39.78215;428705,5627;2209241,232
"Аквапарк ""Осьминожек""";;;;30;47.2908;39.71922;429391,1891;2204490,551
Аксайский мост;70;;;14;47.24819;39.84511;424507,3022;2213943,85
Аксайский мост;70;;;14;47.24779;39.84598;424461,8718;2214009,062
Александровка;80, 54;;;66, 63, 55, 53, 88, 80, 67;47.24445;39.83189;424106,2008;2212936,932
Аллея роз;34а;;;44;47.20364;39.63124;419813,0128;2197667,7
Аллея роз;34а;;;44;47.20377;39.63204;419826,4156;2197728,562
Аллея роз;34а;;;44;47.20381;39.63383;419828,5161;2197864,258
Аптека;98, 96, 94, 57, 34;;12;98, 96, 94, 93, 73, 34, 20, 10;47.20753;39.61581;420265,8404;2196506,224
Аптека;69a, 42а, 35а, 35, 3а;;;;47.29546;39.80363;429809,17;2210883,249
Аптека;69, 42а, 35а, 35, 3а;;;;47.29528;39.80372;429789,0556;2210889,753
АРМ;96, 89, 54, 28, 18л;;;96, 79, 30, 29;47.26425;39.77017;426378,2677;2208298,526
АРМ;94, 89, 54, 18п;;;94, 79, 30, 29;47.26444;39.77025;426399,2965;2208304,909
АТП-1500;68;;;53;47.23581;39.78323;423201,1898;2209238,243
АТП-3;94, 78, 27;;;94, 78, 44, 23, 11;47.26823;39.68375;426926,1143;2201765,74
АТП-3;96, 83, 27;;;96, 78, 44, 23, 11;47.26976;39.68455;427095,2016;2201829,112
Аэровокзал;7;;;;47.25559;39.80271;425377,7015;2210746,543
Аэропорт;7;;9;95, 93;47.25858;39.80358;425709,1153;2210817,423
Аэропорт;7;;9;95, 93;47.25925;39.80373;425783,4302;2210829,902
"База отдыха ""Автомобилист""";39;;;;47.21069;39.80521;420383,1458;2210860,392
"База отдыха ""Алан""";39;;;;47.20307;39.80013;419541,8287;2210462,713
"База отдыха ""Башмачок""";39;;;;47.20199;39.79272;419430,299;2209899,455
"База отдыха ""Голубая волна""";39;;;;47.212;39.74384;420600,7902;2206213,607
"База отдыха ""Голубая волна""";39;;;;47.21215;39.74342;420617,9715;2206182,056
"База отдыха ""Ёлочка""";39;;;;47.20207;39.7927;419439,2159;2209898,075
"База отдыха ""Кооператор""";39;;;;47.20631;39.8016;419900,3421;2210579,543
"База отдыха ""Орхидея""";39;;;;47.20318;39.77314;419585,4095;2208417,976
"База отдыха ""Орхидея""";39;;;;47.20329;39.77322;419597,5445;2208424,227
"База отдыха ""Охотничий клуб""";39;;;;47.20538;39.76452;419840,1519;2207768,693
"База отдыха ""Сосна""";39;;;;47.20321;39.80007;419557,4618;2210458,403
"База отдыха ""УНР-106""";39;;;;47.20771;39.80171;420055,8583;2210590,233
"База отдыха ""Эмбарго""";39;;;;47.2033;39.7951;419573,1877;2210081,999
"База отдыха ""Эмбарго""";39;;;;47.20323;39.7951;419565,4056;2210081,88
"База отдыха ""Эмпилс""";39;;;;47.20819;39.75723;420161,1983;2207221,29
"База отдыха ""Эмпилс""";39;;;;47.2083;39.75725;420173,4035;2207222,997
Баня;;;;48;47.21783;39.67365;421335,7659;2200907,366
Баня;99, 96, 94, 49, 1;;;99, 96, 94, 49, 43, 14;47.26612;39.68205;426693,6831;2201633,181
"Бассейн ""Коралл""";;10, 4;;;47.24761;39.75888;424541,6892;2207415,067
"Бассейн ""Коралл""";;10, 4;;;47.2479;39.75923;424573,5137;2207442,069
Башня;39;;;;47.21104;39.73011;420510,6745;2205171,801
Березка;69a;;;95;47.27493;39.79283;427539,1778;2210031,539
Березка;69, 36;;;95;47.27462;39.79331;427504,1593;2210067,332
Березка;69, 42а, 42, 35а, 35;;;59, 58, 24;47.28593;39.8019;428751,6576;2210736,342
Березка;69a, 42а, 42, 35а, 35;;;59, 58, 24;47.286;39.80181;428759,543;2210729,652
Ближние сады;;;;29, 11;47.32312;39.75127;432945,5393;2206971,655
Больница;;;;48;47.21683;39.67712;421220,1877;2201168,34
Больница;;;;48;47.21681;39.67749;421217,4952;2201196,329
Больница;36, 28;;;92, 90, 44;47.28362;39.77971;428520,5251;2209053,748
Больница;94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5;;;94, 66, 63, 58, 14;47.249;39.72889;424732,2973;2205147,233
Больница;96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5;;;96, 66, 63, 58, 14;47.24925;39.72901;424759,9446;2205156,764
Больница №20;34а;;;44, 10;47.20347;39.62104;419807,551;2196894,568
Больница №20;34а;;;44;47.2034;39.62234;419798,0507;2196992,927
Больница СКЖД;9;;;93, 25, 23, 12;47.22803;39.68865;422450,7715;2202062,354
Ботанический сад;37;;;93, 25, 23, 20, 12;47.22795;39.65867;422479,9879;2199791,809
Бочка;57;;;;47.1725;39.55451;416454,6819;2191790,905
Бочка;57;;;;47.17262;39.555;416467,343;2191828,296
БСМП-2;46;;;38;47.27213;39.7104;427326,4249;2203789,505
БСМП-2;46;;;;47.27191;39.70983;427302,6709;2203745,975
бул. Комарова;92a, 78, 65, 63, 33, 18л;;6;95, 83, 65, 63, 56, 44, 25, 11;47.2882;39.71521;429107,0629;2204182,528
бул. Комарова;92a, 83, 65, 63, 33, 18п;;6;95, 83, 65, 63, 56, 44, 25, 11;47.28809;39.71482;429095,3138;2204152,827
бул. Комарова;45, 46, 47, 77, 96, 21;;;38, 11, 21, 96, 44, 45, 47, 66, 77, 95, 19;47.28963;39.70367;429280,3086;2203312,199
бул. Комарова;45, 46, 47, 77, 94, 21;;;38, 11, 21, 95, 44, 45, 47, 66, 77, 94, 19;47.29004;39.70373;429325,8156;2203317,486
бул. Новоселов;45, 47, 77, 94, 21;;;30, 11, 21, 95, 44, 45, 47, 66, 77, 94, 19;47.28298;39.71148;428531,3304;2203890,905
ВАЗ;;;;48, 40, 16;47.23779;39.58376;423672,9674;2194138,478
ВАЗ;;;;48, 40, 16;47.23793;39.58384;423688,4229;2194144,814
Верхненольная;3а, 3;;;98, 80;47.22861;39.75029;422439,6367;2206731,395
Вет.клиника;96;;;96, 30, 19;47.28455;39.72668;428687,2248;2205043,63
Вет.клиника;94;;;94, 30, 19;47.28469;39.72683;428702,6063;2205055,228
Военвед;99, 96, 94, 49, 10;;;99, 96, 94, 49, 10;47.26279;39.66183;426349,2093;2200096,738
Военвед;49, 10, 99, 96, 94;;;99, 96, 94, 49, 14, 10;47.26292;39.66083;426364,9449;2200021,303
Военкомат;98, 57, 34;;;98, 34;47.20827;39.64071;420315,3563;2198394,048
Военкомат;34, 98, 57;;12;98, 44, 34;47.20821;39.64111;420308,1647;2198424,237
Военкомат;98, 67, 11;;;;47.25672;39.7725;425538,3868;2208461,86
Военная часть;96, 94;;;96, 94, 10;47.25775;39.63625;425822,02;2198151,147
Военная часть;96, 94;;;96, 94, 10;47.25781;39.63518;425830,0899;2198070,277
Военторг Новостройка;99, 96, 94, 49, 10;;;99, 96, 94, 49, 10;47.26057;39.65255;426114,3478;2199390,21
"Вокзал ""Сельмаш""";96, 42а, 42, 35а, 35, 18л;;;96, 66, 63, 58, 14;47.25532;39.76402;425392,7436;2207817,579
ВОС;64, 32, 16;;;;47.21175;39.60893;420744,144;2195993,261
ВОС;64, 32, 16;;;;47.21182;39.60842;420752,6066;2195954,764
Гараж;32;;;;47.21629;39.5757;421293,7346;2193485,083
Гараж;32;;;;47.21654;39.57558;421321,6917;2193476,495
Гараж МВД;39, 31;;;;47.20186;39.7104;419514,2731;2203662,033
Гаражи;92a, 90а, 69a, 22;;;;47.29353;39.75738;429648,5892;2207381,783
Гаражи;92a, 90а, 69, 22;;;;47.29343;39.75722;429637,6621;2207369,506
Гаражная;98, 67;;;52;47.24881;39.76837;424663,8634;2208135,563
Гвардейская площадь;21;;5;98, 88, 80, 67, 59, 55, 52, 40, 29, 21;47.22457;39.69713;422055,4911;2202698,206
Гвардейская площадь;21;;5;98, 88, 80, 67, 59, 55, 52, 40, 29, 21;47.22438;39.69542;422036,5044;2202568,35
ГИБДД диагностика;;;;48, 40, 16;47.23787;39.59125;423671,7138;2194705,751
ГИБДД диагностика;;;;48, 40, 16;47.23784;39.59134;423668,257;2194712,506
Гигант;;;;48;47.21399;39.68785;420890,9084;2201975,856
Гигант;;;;48;47.21419;39.68751;420913,5705;2201950,47
Гимназия 239;7;;;;47.26927;39.81006;426890,1681;2211325,756
Гимназия 239;7;;;;47.26935;39.80999;426899,1418;2211320,593
Гипсовый завод;4;;12;73, 8;47.1963;39.62573;419004,2539;2197236,043
Гипсовый завод;4;;8;73, 4;47.19647;39.62563;419023,2849;2197228,794
Главная проходная РСМ;89, 3а, 14, 18л, 28, 35, 35а, 36, 42, 3, 54, 96, 42а;;;96, 14, 24, 29, 30, 58, 59, 63, 79;47.25797;39.76549;425685,6159;2207933,446
Главный автовокзал;;;;99, 38;47.21985;39.69273;421536,2568;2202356,292
Главный автовокзал;80, 70, 3а;;;98, 90, 67, 55, 52, 40;47.22015;39.69278;421569,5461;2202360,631
Главный автовокзал;33, 3;;22, 9, 1;78, 20;47.21979;39.69355;421528,5596;2202418,29
Главный ЖДВ;7;;;;47.21978;39.69283;421528,3495;2202363,738
Главный ЖДВ;80, 70;;;98, 80, 67, 59, 55, 52, 40;47.21959;39.69251;421507,6275;2202339,151
Главный ЖДВ;;;22, 9, 5, 1;;47.22068;39.69164;421629,8965;2202275,261
Главный ЖДВ;39, 31, 3а, 3;;;58, 20;47.2199;39.69193;421542,818;2202295,791
Главный ЖДВ;21;;;21, 88, 29;47.22043;39.69215;421601,4639;2202313,429
Главный ЖДВ;;4, 1;;;47.21954;39.6924;421502,2067;2202330,727
Главный ЖДВ;;4, 1;;;47.21972;39.69202;421522,694;2202302,276
Глазная клиника;98, 26, 34, 34а, 41, 57, 64, 67, 71, 16;;8;34, 40, 44, 52, 55, 59, 67, 71, 98, 16;47.21205;39.65142;420721,6869;2199212,592
Горгаз;;;5;93, 88, 67, 59, 52, 40, 29;47.23735;39.74392;423418,9355;2206264,433
Горгаз;;;5;93, 88, 67, 59, 52, 40, 29;47.23734;39.74322;423418,6661;2206211,414
Городской пляж;31;;;;47.20993;39.72164;420397,6107;2204528,164
Госпиталь;99, 96, 94, 49, 1;;;99, 96, 94, 49, 43, 14;47.26003;39.67552;426024,9027;2201127,662
Госпиталь УВОВ;;1;;;47.23636;39.76523;423283,459;2207876,248
Госпиталь УВОВ;;1;;;47.23638;39.76382;423287,3505;2207769,52
ГПЗ-10;4;;;56, 34, 25, 23, 8, 4;47.1996;39.61269;419388,3895;2196254,374
ГПЗ-10;98, 96, 94, 57, 34а, 34, 32;;;98, 96, 94, 93, 44, 20;47.20009;39.61318;419442,2121;2196292,457
ГПЗ-10;;;8;73;47.2011;39.61342;419554,177;2196312,613
