field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descriptio_2,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop
1943,96,"553,370817638763",Госпиталь,"99, 96, 94, 49, 1",NA,NA,"99, 96, 94, 49, 43, 14",47.26003,39.67552,426024.90269,2201127.66173,5,0,0,6,11,19,Госпиталь-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
3873,96,"67,6216892021696",пер. Авиамоторный,"94, 49, 1, 99, 96",NA,NA,"99, 96, 94, 49, 43, 14",47.26321,39.66989,426385.59639,2200707.51160,5,0,0,6,11,39,Госпиталь-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
10743,96,"284,071342493806",ул. Северо-Кавказская,"99, 96, 94, 49, 1",NA,NA,"99, 96, 94, 49, 43, 14",47.26266,39.66951,426324.93532,2200677.72294,5,0,0,6,11,98,Госпиталь-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
10313,96,"258,710434915761",ул. Оганова,"99, 96, 94, 49, 10",NA,NA,"94, 49, 14, 10, 99, 96",47.26291,39.66525,426358.16948,2200355.79202,5,0,0,6,11,97,Военвед-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
1533,96,"341,794786631095",Военвед,"49, 10, 99, 96, 94",NA,NA,"99, 96, 94, 49, 14, 10",47.26292,39.66083,426364.94491,2200021.30283,5,0,0,6,11,13,Военвед-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
7273,96,"289,455748992978",Рынок,"99, 96, 94, 49, 10",NA,NA,"99, 96, 94, 49, 14, 10",47.26206,39.65569,426275.94572,2199630.67712,5,0,0,6,11,73,Военвед-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
1593,96,"111,568938784225",Военторг Новостройка,"99, 96, 94, 49, 10",NA,NA,"99, 96, 94, 49, 10",47.26057,39.65255,426114.34777,2199390.20957,5,0,0,5,10,16,Военвед-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
2353,96,"251,440592352874",ЖК 50-летия Победы,"99, 96, 94, 49, 10",NA,NA,"99, 96, 94, 49, 10",47.26038,39.65110,426095.09859,2199280.10711,5,0,0,5,10,25,Болгарстрой,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
2363,96,"182,863319919597",ЖК 50-летия Победы,"99, 96, 94, 49, 10",NA,NA,"99, 96, 94, 49, 10",47.25905,39.64841,425950.71937,2199073.98570,5,0,0,5,10,26,Стройгородок,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
8123,96,"172,839313257585",Стройгородок,"99, 96, 94, 49, 10",NA,NA,"99, 96, 94, 49, 10",47.25824,39.64545,425864.50801,2198848.41019,5,0,0,5,10,78,Болгарстрой,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533
