"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"3732";"59";251,5535;"Общежитие";"69a, 42а, 42, 35а, 35, 3а";NA;NA;"59, 58, 24";47,28379;39,80083;428515;2210652;6;0;0;3;9;29
"1272";"59";294,3581;"Березка";"69a, 42а, 42, 35а, 35";NA;NA;"59, 58, 24";47,286;39,80181;428759,5;2210730;5;0;0;3;8;10
"11462";"59";NA;"Филиал часового завода ""Витязь""";"69, 42а, 42, 35а, 35, 3а";NA;NA;"59, 58, 24";47,2886;39,80325;429046,9;2210843;6;0;0;3;9;100
"889";"63";234,1281;"Александровка";"80, 54";NA;NA;"66, 63, 55, 53, 88, 80, 67";47,24445;39,83189;424106,2;2212937;2;0;0;7;9;1
"7251";"63";54,95621;"Рынок";"80, 54";NA;NA;"88, 80, 67, 63, 55";47,24291;39,834;423932,6;2213094;2;0;0;5;7;50
"6122";"63";441,2738;"пр. 40 лет Победы, 99";"80, 54";NA;NA;"88, 80, 67, 66, 63, 55, 53";47,24174;39,8349;423801,6;2213160;2;0;0;7;9;45
"6093";"63";330,5558;"пр. 40 лет Победы";"80, 70, 68, 54";NA;"22";"88, 80, 67, 66, 63, 55, 53, 14";47,23893;39,83049;423494,1;2212822;4;0;1;8;13;42
"2283";"63";214,7912;"Дом-интернат";"80, 70, 68, 54";NA;"22";"88, 80, 67, 66, 63, 55, 53, 14";47,23815;39,82627;423412,1;2212501;4;0;1;8;13;14
"3713";"63";188,9361;"Общежитие";"54, 80, 70, 68";NA;"22";"88, 80, 67, 66, 63, 55, 53, 14";47,23782;39,82347;423378,6;2212289;4;0;1;8;13;24
"3703";"63";307,0599;"Общежитие";"80, 70, 68, 54";NA;"22";"88, 80, 67, 66, 63, 55, 53, 14";47,23797;39,82098;423398;2212100;4;0;1;8;13;23
"4663";"63";97,44303;"пер. Руднева";"80, 70, 68, 54";NA;"22";"88, 80, 67, 66, 63, 55, 53, 14";47,23705;39,81715;423300,1;2211809;4;0;1;8;13;30
"2703";"63";414,2229;"Калинина";"80, 70, 68, 54";NA;"22";"88, 80, 67, 66, 63, 55, 53, 14";47,23737;39,81595;423337;2211718;4;0;1;8;13;18
"4453";"63";390,4453;"пер. Молочный";"80, 70, 68, 54";NA;"22";"88, 80, 67, 66, 63, 55, 53, 14";47,23653;39,80926;423251,2;2211210;4;0;1;8;13;28
"6873";"63";359,1546;"Расковой";"80, 70, 68, 54";NA;"22";"88, 80, 67, 66, 63, 55, 53, 14";47,23582;39,8036;423178,8;2210781;4;0;1;8;13;46
"7201";"63";385,8323;"Роща";NA;NA;NA;"88, 67, 63, 14";47,23559;39,79865;423158,9;2210405;0;0;0;4;4;49
"2381";"63";246,3131;"ЖК Александровский";NA;NA;NA;"88, 67, 63, 14";47,23905;39,79895;423543,2;2210434;0;0;0;4;4;15
"7351";"63";469,1586;"Рынок ""Лидер""";NA;NA;NA;"88, 67, 63, 14";47,24181;39,79902;423850;2210444;0;0;0;4;4;52
"8811";"63";59,70209;"ул. Вересаева";"14";NA;NA;"88, 67, 63, 14";47,24598;39,79812;424314,6;2210383;1;0;0;4;5;60
"601";"63";425,6941;"пос. Фрунзе";"14";NA;NA;"63";47,2461;39,79735;424328,8;2210325;1;0;0;1;2;41
"8961";"63";170,9357;"ул. Гикало";"14";NA;NA;"88, 67, 63, 14";47,24992;39,79761;424753,2;2210351;1;0;0;4;5;63
"8971";"63";462,5994;"ул. Гикало";"14";NA;NA;"88, 67, 63, 14";47,24951;39,79543;424710,1;2210185;1;0;0;4;5;64
"11251";"63";902,7941;"ул. Щаденко";"14";NA;NA;"88, 67, 63, 14";47,25401;39,79504;425210,9;2210163;1;0;0;4;5;84
"8981";"63";295,8371;"ул. Грамши";"14";NA;NA;"63, 14";47,2606;39,7868;425953;2209551;1;0;0;2;3;65
"9001";"63";355,2012;"ул. Грисенко";"14";NA;NA;"63, 14";47,26159;39,78302;426067,5;2209266;1;0;0;2;3;67
"3241";"63";685,4839;"Магазин";"14";NA;NA;"63, 14";47,26287;39,77795;426215,7;2208885;1;0;0;2;3;19
