Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
Заводская,7,,9,"95, 93",47.26284,39.80966,"426175,773468876","2211284,72786245"
Западный переезд,"37, 15",,,,47.24587,39.6223,"424519,613565903","2197072,25415573"
Зоопарк,6,,,"56, 6",47.24707,39.67315,"424587,104541817","2200924,08454705"
Зоопарк,6,,,"56, 6",47.24733,39.67187,"424617,638100795","2200827,67051486"
ЗФК,,,,"93, 25, 23, 12",47.2238,39.66262,"422013,548924118","2200083,13430273"
"Издательство ""Молот""","96, 94",,,"96, 94, 71, 10",47.23847,39.61411,"423707,783888823","2196437,79172166"
"Издательство ""Молот""","96, 94",,,"96, 94, 71, 10",47.23893,39.61336,"423759,920488133","2196381,90336789"
"Издательство ""Молот""",,,,"52, 40, 16",47.23783,39.61128,"423640,397992806","2196222,2660826"
Изумруд,,,,"48, 40, 16",47.23817,39.57406,"423728,435451485","2193404,79439216"
Институт сервиса,"65, 63",,,"65, 63, 38, 29, 11",47.30293,39.73604,"430719,239687748","2205784,41305185"
Институт сервиса,"65, 63",,,"65, 63, 38, 29, 11",47.30286,39.73632,"430711,118588987","2205805,46314142"
Испытатель,39,,,,47.20512,39.71152,"419875,31291978","2203752,798059"
Испытатель,"39, 31",,,,47.20508,39.71175,"419870,582095955","2203770,15110733"
Казахская,"90а, 90",,,"92, 90",47.27353,39.74765,"427436,724130022","2206610,58856148"
Казачий хутор,39,,,,47.2014,39.78922,"419368,757823025","2209633,26458338"
Калинина,"80, 70, 68, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23737,39.81595,"423337,027691516","2211718,37998249"
Каменские сады,"27, 18п, 18л, 10, 1",,,"43, 10",47.29736,39.67764,"430172,340112813","2201357,62138614"
Каменские сады,"27, 18п, 18л, 10, 1",,,"43, 10",47.2974,39.67756,"430176,888457621","2201351,64537679"
Каратаево,32,,,,47.23052,39.54198,"422922,344039336","2190960,12606481"
Каратаево-переезд,32,,,,47.23032,39.54999,"422888,93456531","2191566,286334"
Каратаево-переезд,32,,,,47.23129,39.55173,"422994,35278866","2191700,02963027"
Карьер,"64, 32",,,,47.21066,39.59431,"420642,574070511","2194883,59119307"
Карьер,"64, 32",,,,47.21073,39.59426,"420650,423558874","2194879,94196034"
"Кафе ""Зелёный попугай""",39,,,,47.20325,39.77012,"419596,743615594","2208189,2835478"
"Кафе ""Калифорния""",39,,,,47.20547,39.76458,"419850,086517453","2207773,39466723"
"Кафе ""Наири""",39,,,,47.21094,39.73011,"420499,557195108","2205171,62231662"
"Кафе ""Полет""","10, 1",,,"43, 10",47.26437,39.66643,"426518,974259687","2200447,83625226"
"Кафе ""Тайфун""",57,,,,47.16841,39.55108,"416004,753479792","2191522,54087742"
"Кафе ""Тайфун""",57,,,,47.16839,39.55141,"416002,071268059","2191547,51903547"
"Кафе ""У Бориса""",39,,,,47.20333,39.77033,"419605,390167086","2208205,33258266"
"Кафе ""Фрегат""",39,,,,47.20132,39.7895,"419359,539476649","2209654,34373468"
Каяни,,"10, 4",,,47.23468,39.74617,"423119,398199414","2206430,08956037"
Каяни,,"10, 4",,,47.2345,39.74506,"423100,720452597","2206345,72164874"
к-з Путь к коммунизму,57,,,,47.18282,39.59545,"417546,003048869","2194914,92402292"
к-з Путь к коммунизму,57,,,,47.18187,39.59635,"417439,177534214","2194981,26300391"
Кирпичный завод,70,,,14,47.2492,39.84237,"424622,618446969","2213738,06880597"
Кирпичный завод,70,,,14,47.24899,39.84164,"424600,080545714","2213682,46570993"
Комсомольский парк,"99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а",,,"99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6",47.23868,39.69916,"423621,612930724","2202877,76882503"
Консерватория,"61, 6, 9, 27, 33, 35, 35а, 47, 51, 2, 60, 75, 90, 90а, 99, 78, 58",,,"12, 44, 43, 58, 78, 90, 99, 20, 11, 6, 47, 38",47.21968,39.70771,"421498,70079121","2203490,59853433"
Котельная,"96, 83, 18п, 18л",,,"96, 78, 44, 23, 11",47.28257,39.68951,"428513,10070888","2202228,07342172"
Котельная,"94, 78, 18п, 18л",,,"94, 78, 44, 23, 11",47.28273,39.6889,"428531,654678789","2202182,22071784"
КПС,,,,"56, 40, 16",47.22374,39.61359,"422070,898025844","2196369,66937817"
КПС,,,,"56, 40, 16",47.22231,39.61381,"421911,628496564","2196383,54106143"
Красный Аксай,,,2,,47.22604,39.77482,"422124,855515167","2208584,61815511"
Красный моряк,31,,,73,47.20325,39.70286,"419678,147233702","2203093,27985512"
Красный моряк,31,,,73,47.20273,39.70227,"419621,070926331","2203047,6293148"
Левенцовка,"64, 32",,,,47.20975,39.58946,"420547,957730307","2194514,37332694"
Левенцовка,"64, 32",,,,47.20971,39.58927,"420543,767919174","2194499,90022839"
Левенцовский,,,,"48, 40, 16",47.23748,39.60286,"423612,734859262","2195584,04736279"
Левенцовский,,,,52,47.23717,39.60491,"423575,526503634","2195738,65755614"
Лендворец,37,,,"58, 20",47.2202,39.68665,"421582,801789328","2201896,42744003"
Лендворец,,10,,,47.22142,39.68528,"421720,158021988","2201794,91781732"
Лендворец,,"10, 7",,,47.22081,39.68506,"421652,619713773","2201777,12677448"
Лендворец,,7,,,47.22105,39.68513,"421679,213019872","2201782,87251315"
Лесная школа,"36, 28, 3",,,,47.27567,39.78246,"427633,480175737","2209248,17404399"
Лесная школа,3,,,,47.27562,39.78225,"427628,16622238","2209232,19925637"
Лесничество,3,,,,47.28091,39.78466,"428213,472254807","2209423,58884705"
Лестница,"92a, 89, 54, 18п",,,"95, 79, 44, 29",47.2902,39.73771,"429301,967613751","2205888,08538669"
Лестница,"92a, 89, 54, 18л",,,"95, 79, 44, 29",47.29,39.73768,"429279,76899191","2205885,4607937"
Лесхоз,39,,,,47.21133,39.74899,"420520,121075722","2206602,55854663"
Магазин,32,,,,47.23024,39.54709,"422884,07941997","2191346,51509611"
Магазин,32,,,,47.23014,39.54709,"422872,962154281","2191346,31043905"
Магазин,57,,,,47.1675,39.54779,"415908,167083058","2191271,25020842"
Магазин,57,,,,47.16765,39.54772,"415924,940364854","2191266,24961101"
Магазин,"96, 94, 71, 67",,,"96, 94, 93, 73, 71, 67, 25, 23, 20, 10",47.2275,39.62985,"422467,418383483","2197608,39247933"
Магазин,"94, 71, 67, 96",,,"96, 94, 93, 73, 71, 67, 25, 23, 20, 10",47.22795,39.6293,"422518,168886029","2197567,6086574"
Магазин,15,,,48,47.22117,39.65605,"421729,607364188","2199580,57341893"
Магазин,15,,,48,47.22156,39.65577,"421773,32555369","2199560,10386211"
Магазин,68,,,,47.23011,39.7964,"422552,244112976","2210225,82776878"
Магазин,14,,,"63, 14",47.26287,39.77795,"426215,716677545","2208884,93662787"
Магазин,14,,,"63, 14",47.2626,39.77856,"426184,986254285","2208930,63820143"
Магазин,11,,,,47.25861,39.78307,"425736,138381538","2209265,13328029"
Магазин,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.24893,39.73896,"424712,304046064","2205909,41331927"
Магазин,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24905,39.73824,"424726,514709353","2205855,12181216"
Магазин,2,,,,47.2632,39.73255,"426306,515490344","2205449,61589571"
Магазин,2,,,,47.26303,39.73287,"426287,227522262","2205473,53052018"
Магазин,"18л, 10, 1, 27, 18п",,,"43, 10",47.30098,39.67714,"430575,425089735","2201326,55089591"
Магазин,"27, 18п, 18л, 10, 1",,,"43, 10",47.3012,39.677,"430600,060932592","2201316,37320396"
"Магазин ""Автозапчасти""",6,,,"52, 6, 55",47.22578,39.63299,"422272,080693441","2197842,87832061"
"Магазин ""Автозапчасти""",6,,,"55, 52, 6",47.2252,39.63122,"422209,921847897","2197707,71281116"
"Магазин ""Богатырь""",34а,,,"44, 10",47.20343,39.61623,"419809,47590736","2196530,0592598"
"Магазин ""Богатырь""",34а,,,44,47.20333,39.61608,"419798,557730876","2196518,49973876"
"Магазин ""Богатырь""","98, 96, 94, 57, 34",,12,"98, 96, 94, 93, 73, 34, 20",47.20359,39.61535,"419828,4316537","2196463,69762689"
"Магазин ""Красный""",60,,,,47.23291,39.68275,"423000,727487196","2201624,58892973"
"Магазин ""Красный""",60,,,,47.23284,39.68273,"422992,970611208","2201622,94472818"
"Магазин ""Олимп""",,,,"56, 40, 16",47.21572,39.61327,"421179,718420875","2196329,7793737"
"Магазин ""Стройматериалы""",,,,8,47.21124,39.69448,"420576,86736453","2202473,0319663"
"Магазин ""Стройматериалы""",,,,4,47.2112,39.69411,"420572,883401731","2202444,92942893"
Мемориал,6,,,"56, 6",47.24684,39.65211,"424588,504437255","2199330,85422144"
мкр. Левенцовский,"71, 67",,,,47.23247,39.59172,"423070,745147291","2194730,62850453"
мкр. Левенцовский,"71, 67",,,,47.23221,39.59286,"423040,301014985","2194816,43843983"
мкр. Левенцовский,26,,,,47.23607,39.58923,"423474,333836203","2194549,22824434"
мкр. Суворовский,"27, 18п, 18л, 1",,,"43, 10",47.31803,39.6731,"432476,08041463","2201052,89403377"
мкр. Суворовский,"27, 18п, 18л, 10, 1",,,"43, 10",47.31965,39.68382,"432642,609671739","2201866,35116844"
Молкомбинат,"64, 32, 16",,,,47.21184,39.61292,"420748,834261236","2196295,69303151"
Молкомбинат,"64, 32, 16",,,,47.21194,39.61279,"420760,124452882","2196286,04034829"
Музыкальная школа,,,,48,47.21788,39.6738,"421341,133915277","2200918,82126581"
Мясокомбинат,,6,,,47.23954,39.73351,"423674,980827345","2205480,11826708"
Насосная,"92a, 90а, 69a, 69, 42а, 36, 35а",,,"92, 90",47.30787,39.78382,"431211,718695435","2209406,16709186"
Насосная,"92a, 90а, 69a, 69, 42а, 36, 35а",,,"90, 92",47.30805,39.78368,"431231,893151196","2209395,88883786"
Нахичеванский рынок,68,,,"53, 24",47.23209,39.76538,"422808,570920358","2207880,19488158"
Неклиновская,"94, 78, 27",,,"94, 78, 44, 23, 11",47.28055,39.68346,"428296,143309662","2201766,63073952"
Неклиновская,"96, 83, 27",,,"96, 78, 44, 23, 11",47.28091,39.68345,"428336,178592155","2201766,54154088"
Нефтекачка,"96, 94",,,"96, 94, 10",47.25553,39.61553,"425602,512795429","2196578,56702145"
Нефтекачка,"96, 94",,,"96, 94, 10",47.2562,39.61683,"425675,27400384","2196678,2704274"
Новосел,"57, 41, 34а, 34, 98",,12,"98, 44, 34",47.20967,39.6462,"420463,857775403","2198812,6282914"
Нольная линия,,1,,,47.22656,39.75102,"422210,858028384","2206783,07792614"
Областная больница,"26, 6",,,"59, 55, 40, 6",47.22522,39.61801,"422229,566795061","2196707,30276906"
Областная больница,"26, 6",,,"59, 55, 40, 6",47.22502,39.61799,"422207,358735376","2196705,39901256"
Областная больница №2,,,,40,47.25705,39.76901,"425579,181384455","2208198,27441958"
Областная туб. больница,"36, 28, 3а",,,"92, 90, 44",47.29015,39.78368,"429241,865100953","2209365,25600315"
Областная туб. больница,"36, 28, 3а",,,"92, 90, 44",47.29033,39.7839,"429261,62042569","2209382,20517738"
Обувная фабрика,,,,53,47.23596,39.7828,"423218,366761579","2209205,94042929"
Общежитие,34а,,,44,47.20522,39.64089,"419976,045404037","2198401,85267869"
Общежитие,34а,,,,47.20501,39.64013,"419953,689794578","2198343,87124342"
Общежитие,"80, 70, 68, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23797,39.82098,"423398,044974773","2212100,23189238"
Общежитие,"54, 80, 70, 68",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23782,39.82347,"423378,562797003","2212288,51792794"
Общежитие,"69, 42а, 42, 35а, 35, 3а",,,"59, 58, 24",47.2838,39.80105,"428515,830733465","2210668,45001239"
Общежитие,"69a, 42а, 42, 35а, 35, 3а",,,"59, 58, 24",47.28379,39.80083,"428514,971431989","2210651,78991184"
Общежитие РИСИ,"83, 5, 22, 33, 42, 42а, 45, 46, 49, 1, 77, 92a, 65",,6,"25, 45, 49, 65, 77, 83, 92",47.23885,39.71336,"423622,911349254","2203953,23223702"
Общежитие РИСИ,"99, 46, 47, 58, 65, 77, 78, 90, 90а, 35а, 92a, 35, 1, 33",,6,"47, 49, 65, 77, 83, 92, 25",47.23933,39.71357,"423676,015756019","2203970,0009786"
Общежитие ТЭЦ-2,64,,,,47.21734,39.5843,"421398,751291244","2194138,59852832"
Октября,"10, 1",,,"43, 10",47.28287,39.66259,"428580,605899222","2200192,07195486"
Октября,"10, 1",,,"43, 10",47.2829,39.66271,"428583,787317887","2200201,2067076"
Очистные сооружения,31,,,73,47.18984,39.6803,"418215,61140268","2201359,12192548"
Парк 8-го марта,9,,,,47.23208,39.67238,"422921,596550359","2200837,78727773"
Пединститут,"92a, 90а, 69a, 22",,,,47.28599,39.75736,"428810,357282348","2207367,08584258"
Пединститут,"22, 92a, 90а, 69",,,,47.2861,39.75715,"428822,836339498","2207351,3921619"
пер. 2-й Поселковый,4,,8,"8, 4",47.19603,39.65537,"418935,603287744","2199481,5156346"
пер. 2-й Поселковый,4,,12,"8, 4",47.19639,39.65563,"418975,290237179","2199501,89805488"
пер. 3-й Поселковый,4,,8,"8, 4",47.19425,39.65101,"418743,345952723","2199147,75564169"
пер. 3-й Поселковый,4,,12,"8, 4",47.19465,39.65157,"418787,090809523","2199190,95015368"
пер. Авиамоторный,"94, 49, 1, 99, 96",,,"99, 96, 94, 49, 43, 14",47.26321,39.66989,"426385,596386402","2200707,51159655"
пер. Автосборочный,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",,,"94, 66, 63, 58, 14",47.24911,39.72449,"424749,892876718","2204814,3480324"
пер. Автосборочный,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24936,39.72396,"424778,33396481","2204774,67560531"
пер. Ашхабадский,"99, 96, 58, 35а, 35, 17, 1",,,"96, 58, 56, 49, 14",47.24978,39.70715,"424845,710793192","2203502,92275688"
пер. Ашхабадский,"90а, 90, 47, 21, 2",,,"90, 47, 21",47.25062,39.70639,"424940,038232139","2203446,92015433"
пер. Ашхабадский,"94, 49, 42а, 42, 17, 5, 1",,,"14, 94, 58, 56, 49",47.24956,39.70573,"424823,012411506","2203395,02901438"
пер. Безымянный,,7,,,47.22083,39.67703,"421664,993470897","2201168,96697488"
пер. Безымянный,,7,,,47.22085,39.6764,"421668,015927464","2201121,28766086"
пер. Беломорский,22,,,,47.2717,39.75207,"427227,984339333","2206941,81767434"
пер. Богучаровский,"96, 63, 58, 42а, 42, 35а, 35, 18л, 17, 5",,,"96, 66, 63, 58, 14",47.24924,39.75185,"424731,280794963","2206885,73910731"
пер. Боевой,"2, 21, 22, 27, 45, 49, 83, 96, 99, 1",,,"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11",47.25298,39.70207,"425207,770966413","2203124,21424798"
пер. Боковский,"80, 70, 68, 54",,22,"80, 66, 55, 53",47.23354,39.78739,"422943,988570154","2209549,36746152"
пер. Боковский,"80, 70, 54",,22,"80, 66, 55",47.23333,39.78626,"422921,954428411","2209463,44259352"
пер. Братский,"98, 80, 75, 70, 67, 33, 7, 3а, 3",,"22, 9, 2, 1",20,47.21871,39.70129,"421398,83201819","2203002,56150573"
пер. Братский,"98, 80, 75, 70, 67, 33, 7, 3а, 3",,"22, 9, 2, 1",,47.21846,39.69954,"421373,217962726","2202869,55290041"
пер. Вагайский,"37, 15",,,"93, 48, 25, 23, 20, 12",47.22506,39.65107,"422168,4977643","2199210,77196209"
пер. Вагайский,15,,,48,47.22511,39.65121,"422173,875382434","2199221,46968993"
пер. Гвардейский,"60, 9",,,"23, 12, 93, 25",47.22853,39.69105,"422503,344893025","2202245,02747021"
пер. Гвардейский,"60, 9",,,"93, 25, 23, 12",47.23159,39.68974,"422845,178741282","2202151,46208026"
пер. Дальний,"17, 6",,,"56, 6",47.25041,39.67949,"424950,381363074","2201410,2498212"
пер. Дальний,6,,,"56, 6",47.25003,39.67953,"424908,084816147","2201412,57155307"
пер. Деревянко,,,,4,47.20595,39.6822,"420004,199512568","2201532,96543647"
пер. Деревянко,,,,8,47.20607,39.68277,"420016,820497133","2201576,37194523"
пер. Джамбульский,51,,,,47.24525,39.68704,"424367,19967761","2201972,23899079"
пер. Джамбульский,61,,,,47.24514,39.68821,"424353,499234184","2202060,61171002"
пер. Дивный,37,,,"93, 25, 23, 20, 12",47.2278,39.65116,"422472,995301693","2199222,78896662"
пер. Днепровский,"90а, 90, 89, 54, 18л",,,"90, 79, 44, 95, 92",47.283,39.756,"428479,564825978","2207258,97105735"
пер. Днепровский,"92a, 69a, 22",,,,47.28304,39.75745,"428482,285743079","2207368,73655982"
пер. Днепровский,"92a, 90а, 89, 54, 22, 18п",,,"95, 92, 90, 79, 44",47.28352,39.75463,"428539,008195955","2207156,23886759"
пер. Доломановский,,"10, 7",,,47.22299,39.69691,"421880,112308277","2202678,64868715"
пер. Доломановский,,"10, 7",,,47.22362,39.69594,"421951,362970372","2202606,33885184"
пер. Доломановский,"60, 9",,,"93, 25, 23, 12",47.22919,39.69459,"422572,285002543","2202514,3223243"
пер. Доломановский,61,,,,47.23919,39.68845,"423691,715969355","2202067,80055951"
пер. Доломановский,51,,,,47.23925,39.68748,"423699,605918516","2201994,46837447"
пер. Забайкальский,"90а, 90, 47, 21, 2",,,"90, 47, 21",47.25669,39.71311,"425606,555958808","2203966,60267621"
пер. Забайкальский,"45, 22, 21, 2",,,"90, 45, 21",47.25691,39.71403,"425629,880413533","2204036,63512862"
пер. Изыскательский,"94, 78, 27",,,"94, 78, 44, 23, 11",47.27667,39.6859,"427861,712844136","2201944,05122433"
пер. Изыскательский,"96, 83, 27",,,"96, 78, 44, 23, 11",47.27736,39.68574,"427938,624390319","2201933,22223475"
пер. Иртышский,96,,,"96, 30, 19",47.28079,39.74237,"428250,194311452","2206223,92173413"
пер. Иртышский,94,,,"94, 30, 19",47.28064,39.74323,"428232,482810427","2206288,7199632"
пер. Клязьминский,96,,,"96, 30, 19",47.28223,39.73683,"428416,97210824","2205807,35157958"
пер. Клязьминский,94,,,"94, 30, 19",47.28187,39.73852,"428374,906365458","2205934,56634777"
пер. Кольский,2,,,,47.26415,39.72873,"426416,774934825","2205162,21642785"
пер. Кольский,2,,,,47.26408,39.72878,"426408,931880683","2205165,87517038"
пер. Крепостной,,"10, 4, 1",,,47.23112,39.73485,"422737,276114088","2205566,5946862"
пер. Крепостной,,"10, 6, 4, 1",,,47.23094,39.73414,"422718,125527513","2205512,50879976"
пер. Крепостной,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1",,47.22631,39.73699,"422199,941587269","2205720,10631183"
пер. Крепостной,,,5,"88, 80, 67, 59, 55, 52, 40, 29, 98",47.23239,39.73297,"422880,746119725","2205426,49253449"
пер. Крепостной,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.23247,39.73408,"422888,293483577","2205510,68882869"
пер. Крепостной/ул. Красноармейская,,6,,,47.23277,39.73371,"422922,094191213","2205483,20511654"
пер. Крепостной/ул. Максима Горького,,6,,,47.23122,39.73428,"422749,084321916","2205523,60883258"
пер. Кущевский,4,,8,"8, 4",47.20284,39.67284,"419670,316614108","2200818,03028884"
пер. Майкопский,37,,,"93, 25, 23, 20, 12",47.22615,39.66159,"422276,126300626","2200009,55151257"
пер. Майкопский,,,,"93, 25, 23, 12",47.22663,39.66282,"422327,912090728","2200103,60616927"
пер. Мезенский,96,,,"96, 30, 19",47.28357,39.73164,"428572,237034203","2205417,10368457"
пер. Мезенский,94,,,"94, 30, 19",47.2839,39.73087,"428609,860179188","2205359,44167736"
пер. Молодогвардейский,4,,8,"73, 4",47.19265,39.63156,"418590,808496859","2197670,7867876"
пер. Молодогвардейский,4,,12,"73, 8",47.19479,39.63142,"418828,900913867","2197664,29751945"
пер. Молочный,"80, 70, 68, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23653,39.80926,"423251,243613436","2211210,42586696"
пер. Молочный,"80, 70, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23628,39.81071,"423221,798879765","2211319,79989987"
пер. Молочный,68,,,,47.22959,39.81059,"422478,184073815","2211299,53370642"
пер. Нахичеванский,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1",,47.22663,39.73924,"422232,797609248","2205891,07256008"
пер. Обский,"92a, 89, 54, 18п",,,"95, 79, 44, 29",47.28535,39.7469,"428751,703644312","2206574,68081832"
пер. Обский,"92a, 89, 54, 18л",,,"95, 79, 44, 29",47.285,39.74742,"428712,168790213","2206613,4012347"
пер. Обский,"90а, 90, 22",,,"92, 90",47.27441,39.74151,"427541,93890282","2206147,56007622"
пер. Обский,"90а, 90, 22",,,"92, 90",47.27479,39.74051,"427585,390746255","2206072,56918296"
пер. Олимпийский,37,,,20,47.22202,39.66866,"421807,935955395","2200537,24747381"
пер. Олимпийский,37,,,"20, 12",47.2234,39.66952,"421960,257577334","2200604,96605453"
пер. Олимпийский,,7,,,47.22138,39.6687,"421736,734235448","2200539,07830746"
пер. Перовский,,7,,,47.22071,39.67136,"421658,857568964","2200739,29371934"
пер. Перовский,37,7,,20,47.22063,39.67148,"421649,810928085","2200748,23308521"
пер. Пограничный,4,,8,"8, 4",47.199,39.66239,"419256,760265624","2200019,04941159"
пер. Пограничный,4,,12,"8, 4",47.19944,39.66291,"419305,009537021","2200059,27810507"
пер. Пржевальского,4,,12,"73, 8",47.19867,39.62468,"419269,116550947","2197161,0644212"
пер. Пржевальского,4,,8,"73, 4",47.19887,39.62381,"419292,498781081","2197095,53002133"
пер. Приволжский,9,,,"93, 25, 23, 12",47.22951,39.68024,"422625,910338243","2201428,21002367"
пер. Приволжский,9,,,"12, 93, 25, 23",47.22989,39.68148,"422666,588521345","2201522,81790783"
пер. Радиаторный,"94, 78, 27",,,"94, 78, 44, 23, 11",47.2731,39.68577,"427464,985446319","2201927,60979261"
пер. Радиаторный,"96, 83, 27",,,"96, 78, 44, 23, 11",47.27353,39.68611,"427512,362143985","2201954,13165025"
пер. Руднева,"80, 70, 68, 54",,22,"88, 80, 67, 66, 63, 55, 53, 14",47.23705,39.81715,"423300,093149434","2211808,70893004"
пер. Рыбный,37,,,20,47.22172,39.68007,"421760,087344174","2201400,87083646"
пер. Рыбный,37,,,20,47.21994,39.67933,"421563,135843987","2201341,51682065"
пер. Рыбный,,7,,,47.22055,39.68016,"421629,901132378","2201405,5150881"
пер. Рыбный,,7,,,47.22053,39.67972,"421628,234326442","2201372,15191674"
пер. Сальский,22,,,,47.27279,39.74786,"427354,203441826","2206625,17468938"
пер. Сальский,"90а, 90, 22",,,"92, 90",47.27316,39.74672,"427396,705390844","2206539,56712401"
пер. Сальский,92a,,,29,47.28392,39.7524,"428586,139442351","2206988,23852086"
пер. Сальский,96,,,"96, 30, 19",47.27889,39.74967,"428030,197472155","2206772,86236259"
пер. Сальский,94,,,"94, 30, 19",47.27911,39.74925,"428055,158739061","2206741,47319006"
пер. Сальский,"92a, 89, 54",,,"95, 44, 29",47.2841,39.75241,"428606,138883035","2206989,31102051"
пер. Сальский,,,,92,47.28339,39.75298,"428526,524336695","2207031,18599922"
пер. Семашко,"3, 98, 80, 70, 67, 33, 7, 3а",,"22, 9, 2, 1",,47.22146,39.71369,"421689,201964836","2203946,75713121"
пер. Семашко,"98, 80, 70, 67, 7, 3а, 3",,"22, 9, 2, 1",,47.22134,39.71379,"421675,737964528","2203954,11405666"
пер. Семашко,,"10, 6, 4, 1",,,47.22609,39.71145,"422206,696404709","2203785,49035164"
пер. Семашко,,"10, 6, 4, 1",,,47.22593,39.71087,"422189,624881862","2203741,27504062"
пер. Семашко,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.22751,39.71083,"422365,327892128","2203741,11043494"
пер. Семашко,,,5,"98, 88, 80, 67, 59, 55, 52, 40, 29",47.22767,39.71091,"422383,016795848","2203747,45900969"
пер. Семашко,,,,93,47.23519,39.70802,"423222,612912347","2203542,26255841"
пер. Семашко,,,,"93, 25",47.23531,39.70816,"423235,780425977","2203553,08144356"
пер. Сибирский,61,,,,47.24493,39.69286,"424324,318207907","2202412,25812547"
пер. Сибирский,51,,,,47.24493,39.69412,"424322,740832064","2202507,64800705"
"пер. Соборный, пер. Семашко",,,,25,47.23177,39.70712,"422843,514715402","2203467,89477056"
пер. Строительный,4,,8,"8, 4",47.19187,39.6362,"418498,016044102","2198020,91245731"
пер. Строительный,4,,12,"8, 4",47.19201,39.63515,"418514,953761314","2197941,61043233"
пер. Туапсинский,"42а, 42, 35а, 35, 3а",,,"59, 24",47.2691,39.79639,"426886,924761075","2210291,03516831"
пер. Туапсинский,"42а, 42, 35а, 35, 3а",,,"59, 58, 24",47.26951,39.79687,"426931,953382214","2210328,05133576"
пер. Университетский,"3, 98, 80, 70, 67, 7, 3а",,"22, 9, 2, 1",,47.22445,39.72809,"422003,964414686","2205042,75709963"
пер. Урицкого,4,,8,"73, 4",47.19321,39.6294,"418655,901545688","2197508,1804281"
пер. Учительский,"27, 18п, 18л",,,,47.28965,39.66344,"429333,277222064","2200269,13940732"
пер. Учительский,"27, 18п, 18л",,,,47.28985,39.66341,"429355,550484057","2200267,24665968"
пер. Халтуринский,,"10, 7",,,47.22382,39.70076,"421967,585892138","2202971,75491352"
пер. Халтуринский,,"10, 7",,,47.2237,39.70025,"421954,880147625","2202932,90999908"
пер. Халтуринский,9,,,"93, 12",47.22994,39.69826,"422651,080728833","2202793,61997107"
пер. Халтуринский,"60, 9",,,"93, 25, 23, 12",47.23276,39.69582,"422967,635481115","2202614,01826476"
пер. Халтуринский,51,,,,47.23846,39.69384,"423603,799397553","2202474,55982813"
пер. Халтуринский,61,,,,47.23858,39.6936,"423617,440601317","2202456,60867658"
пер. Чалтырский,"99, 96, 94, 49, 1",,,"99, 96, 94, 49, 43, 14",47.26441,39.67495,"426512,567158281","2201092,69158566"
Переезд,"96, 94",,,"96, 94, 10",47.25906,39.62769,"425978,884166515","2197505,79119401"
Переезд,"96, 94",,,"96, 94, 10",47.25922,39.62618,"425998,659745242","2197391,81496568"
Переходной мост,"64, 4, 15, 16, 26, 34, 34а, 57, 67, 98, 41, 71",,"12, 8","40, 71, 98, 55, 44, 34, 16, 67, 4, 59, 52",47.21153,39.68697,"420618,530143072","2201904,65302555"
Переходной мост,"16, 4, 26, 34, 34а, 41, 57, 64, 67, 71, 98, 15",,"12, 8","34, 16, 40, 44, 52, 55, 59, 67, 71, 98, 8",47.21166,39.68585,"420634,392542429","2201820,0490049"
Петровский причал,39,,,,47.21054,39.75263,"420427,939660777","2206876,91910654"
пл. 2-й Пятилетки,"99, 94, 78, 49, 27, 1",,,"99, 94, 78, 49, 44, 43, 23, 14, 11",47.25977,39.68942,"425978,448344487","2202179,19950327"
пл. 2-й Пятилетки,"99, 96, 83, 49, 27, 1",,,"99, 96, 78, 49, 44, 43, 23, 14, 11",47.25991,39.69011,"425993,146403112","2202231,68032585"
пл. 339-й Стрелковой дивизии,"67, 71, 94, 96, 26",,,"40, 10, 20, 25, 96, 52, 59, 67, 71, 73, 93, 94, 23",47.22361,39.6304,"422034,233506446","2197642,5457669"
пл. 339-й Стрелковой дивизии,"94, 26, 71, 96, 67",,,"23, 20, 10, 25, 59, 40, 67, 52, 96, 94, 93, 73, 71",47.22329,39.63034,"421998,73699322","2197637,38470876"
пл. 5-го Донского корпуса,,"4, 1",,,47.21554,39.70191,"421045,642388325","2203043,73558581"
пл. 5-го Донского корпуса,,"4, 1",,,47.21548,39.7018,"421039,108837492","2203035,29374943"
