Наименование остановки,Автобус,Трамвай,Троллейбус,Маршрутное такси,"Широта 
(ГСК-2011)","Долгота 
(ГСК-2011)","Широта 
(МСК-61)","Долгота 
(МСК-61)"
4-я линия,,"10, 4",,,47.23548,39.75017,"423203,541583877","2206734,37934875"
4-я линия,,"10, 4",,,47.23546,39.7501,"423201,401900105","2206729,04381092"
6-й переулок,2,,,,47.26405,39.73857,"426393,723177873","2205906,71979369"
6-й переулок,2,,,,47.26407,39.73877,"426395,70506301","2205921,89110148"
6-й участок,"92a, 90а, 69, 35",,,,47.29853,39.76764,"430192,306980597","2208166,49052509"
6-й участок,"92a, 90а, 69a, 35",,,,47.2984,39.76798,"430177,453215171","2208191,97933947"
7-й километр,57,,,,47.17601,39.5631,"416833,015527993","2192449,20242086"
7-й километр,57,,,,47.17584,39.56314,"416814,061187552","2192451,8908624"
7-й участок,"92a, 90а, 69, 35",,,,47.29851,39.77482,"430181,637960125","2208709,4794323"
7-й участок,"92a, 90а, 69a, 35",,,,47.2984,39.77475,"430169,490838465","2208703,99568409"
7-я линия,,1,,,47.22772,39.75701,"422332,671837905","2207238,74292356"
7-я линия,,1,,,47.22749,39.75569,"422308,67399499","2207138,37578464"
8-й участок,"90а, 69, 35, 92a",,,,47.29853,39.77969,"430178,161557071","2209077,8320667"
8-й участок,"92a, 90а, 69a, 35",,,,47.29837,39.7793,"430160,829213194","2209048,06155048"
"c/т Садовод, 2-й участок","92a, 90а, 69a, 35",,,,47.29836,39.7583,"430184,468400244","2207459,8094355"
"c/т Садовод, 2-й участок","92a, 90а, 69, 35",,,,47.29848,39.75819,"430197,940133475","2207451,69983327"
Автозапчасти,"64, 32",,,,47.21161,39.60168,"420738,277479367","2195443,77430355"
Автозапчасти,"64, 32",,,,47.21163,39.60065,"420741,882802016","2195365,78757091"
"Авторынок ""Алмаз""",,,,"95, 93",47.27183,39.82339,"427159,682264085","2212338,69582131"
"Авторынок ""Алмаз""",,,,"95, 93",47.27297,39.82377,"427285,99335188","2212369,33463559"
"Авторынок ""Фортуна""","96, 94",,,"96, 94, 71, 40, 16, 10",47.23304,39.614,"423104,260673833","2196418,86699423"
"Авторынок ""Фортуна""","96, 94",,,"96, 94, 71, 40, 16, 10",47.23313,39.61342,"423115,037273539","2196375,1233382"
Автостоянка,6,,,"59, 55, 6",47.22514,39.62739,"422208,285084584","2197417,53481538"
Автостоянка,"26, 6",,,"59, 55, 40, 6",47.2249,39.62698,"422182,143289849","2197386,01993819"
Автостоянка,6,,,"56, 6",47.24683,39.66612,"424569,386412362","2200391,4408182"
Автостоянка,6,,,56,47.24683,39.66639,"424569,041267297","2200411,88075879"
АЗС,31,,,73,47.20072,39.70781,"419390,739697858","2203463,7237061"
Аквадар,"36, 28",,,"92, 90, 44",47.28494,39.78134,"428665,372696605","2209179,32202871"
Аквадар,"36, 28",,,"92, 90, 44",47.28531,39.78215,"428705,562718377","2209241,23190352"
"Аквапарк ""Осьминожек""",,,,30,47.2908,39.71922,"429391,18913026","2204490,55060845"
Аксайский мост,70,,,14,47.24819,39.84511,"424507,302159194","2213943,84956854"
Аксайский мост,70,,,14,47.24779,39.84598,"424461,871830731","2214009,06181049"
Александровка,"80, 54",,,"66, 63, 55, 53, 88, 80, 67",47.24445,39.83189,"424106,200829469","2212936,93225891"
Аллея роз,34а,,,44,47.20364,39.63124,"419813,012807916","2197667,69974142"
Аллея роз,34а,,,44,47.20377,39.63204,"419826,415576749","2197728,56190631"
Аллея роз,34а,,,44,47.20381,39.63383,"419828,516128411","2197864,25772033"
Аптека,"98, 96, 94, 57, 34",,12,"98, 96, 94, 93, 73, 34, 20, 10",47.20753,39.61581,"420265,840400642","2196506,22404843"
Аптека,"69a, 42а, 35а, 35, 3а",,,,47.29546,39.80363,"429809,170043035","2210883,24905073"
Аптека,"69, 42а, 35а, 35, 3а",,,,47.29528,39.80372,"429789,055558579","2210889,75327562"
