field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descript_1,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop,beer_apt,coffee_apt,food_apt,pop_densit
7881,57,"191,509621842706",Сказка,"98, 96, 94, 57, 34",NA,8,"98, 96, 94, 93, 73, 34, 20, 10",47.20789,39.62471,420294.08691,2197181.17920,5,0,1,8,14,38,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932,21.00000,5.00000,50.00000,96.00000
538,57,"130,694745774057",42-й дом,"98, 96, 94, 57, 34",NA,8,"98, 96, 94, 93, 73, 34, 20",47.20770,39.61752,420282.47126,2196636.10330,5,0,1,7,13,6,Тружиников-Плевен,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932,17.00000,1.70000,50.00000,96.00000
923,57,"177,019938343521",Аптека,"98, 96, 94, 57, 34",NA,12,"98, 96, 94, 93, 73, 34, 20, 10",47.20753,39.61581,420265.84040,2196506.22405,5,0,1,8,14,9,ГПЗ-Кашира-Извилистая-Краснодар-Коммун-Малина,,,,,,1,0,-1,,,РЎРѕРІРµС‚СЃРєРёР№,,,,administrative,,183144,,9,,,,,,,ru:Советский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,183144,143.15932,11.00000,,40.00000,168.00000
6897,58,"1118,6021563851",РГУПС,"99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а",NA,NA,"99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6",47.24862,39.69699,424729.38387,2202731.69037,12,0,0,12,24,22,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,8.00000,1.50000,50.00000,168.00000
5358,58,"407,344472266779",пл. Комсомольская,"78, 6, 21, 27, 35, 35а, 47, 51, 2, 61, 90, 90а, 99, 58",NA,NA,"58, 6, 11, 21, 23, 38, 43, 44, 99, 90, 78, 47",47.23698,39.69988,423431.72110,2202929.17436,14,0,0,12,26,14,Комсомольская площадь,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,11.00000,2.80000,60.00000,168.00000
9888,58,"668,133124472512",ул. Максима Горького,"6, 99, 2, 90а, 9, 27, 35, 35а, 51, 58, 60, 61, 78, 90, 47",NA,NA,"78, 6, 11, 12, 38, 43, 44, 99, 58, 90, 47",47.22541,39.70508,422138.98223,2203301.83178,15,0,0,11,26,28,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,11.00000,19.00000,70.00000,72.00000
2939,58,"309,078751330161",Консерватория,"61, 6, 9, 27, 33, 35, 35а, 47, 51, 2, 60, 75, 90, 90а, 99, 78, 58",NA,NA,"12, 44, 43, 58, 78, 90, 99, 20, 11, 6, 47, 38",47.21968,39.70771,421498.70079,2203490.59853,17,0,0,12,29,6,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,9.00000,13.00000,80.00000,216.00000
5546,58,"564,051885670105",пл. Советов,"99, 92a, 90а, 90, 78, 77, 65, 58, 47, 46, 35а, 35, 33, 1",NA,6,NA,47.22181,39.71910,421721.45971,2204357.13962,14,0,1,0,15,17,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895,10.00000,3.00000,100.00000,96.00000
9816,58,"582,402331108087",ул. М. Горького,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",NA,6,"47, 49, 65, 77, 83, 92",47.22668,39.71704,422265.40281,2204209.90319,14,0,1,6,21,27,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895,8.00000,25.00000,50.00000,216.00000
9676,58,"246,244647204803",ул. Лермонтовская,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",NA,6,"47, 49, 65, 77, 83, 92",47.23170,39.71487,422826.16182,2204054.63739,14,0,1,6,21,26,ЦГБ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,18.00000,8.00000,60.00000,168.00000
11566,58,"614,007589148365",ЦГБ,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",NA,6,"25, 47, 49, 65, 77, 83, 92",47.23382,39.71394,423062.99461,2203988.04779,14,0,1,7,22,32,ЦГБ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,17.00000,10.00000,80.00000,192.00000
3756,58,"730,945363576955",Общежитие РИСИ,"99, 46, 47, 58, 65, 77, 78, 90, 90а, 35а, 92a, 35, 1, 33",NA,6,"47, 49, 65, 77, 83, 92, 25",47.23933,39.71357,423676.01576,2203970.00098,14,0,1,7,22,9,Нансена центр,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,17.00000,17.00000,90.00000,1.68000
11066,58,"394,28036345749",ул. Турмалиновская,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",NA,6,"25, 47, 49, 65, 77, 83, 92",47.24589,39.71315,424405.83142,2203950.07644,14,0,1,7,22,31,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,17.00000,8.00000,50.00000,192.00000
5417,58,"165,860378545037",пл. Ленина,"94, 63, 58, 42а, 42, 35а, 35, 18п, 17, 5",NA,NA,"94, 66, 63, 58, 14",47.24939,39.71395,424793.95298,2204016.97290,10,0,0,5,15,15,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,17.00000,8.00000,50.00000,192.00000
