field_1,route_n,next_stop_,name,bus,tram,trolley,minibus,lat,lon,Широта.(МС,Долгота.(М,n_bus,n_tram,n_trolley,n_minibus,n_all,NA,name_2,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,name_3,place,name_en,name_ru,boundary,cladr_code,population,addr_regio,admin_leve,addr_count,addr_distr,addr_postc,landuse,addr_city,source,wikipedia,populati_1,fixme,cladr_name,cladr_suff,note,oktmo_user,old_name,official_s,is_in_city,website,descript_1,name_udm,is_in,source_url,name_de,name_lt,start_date,name_os,source_ref,name_uk,contact_we,official_n,pop,denspop,beer_apt,coffee_apt,food_apt,pop_densit
1096,1,"187,570299705484",ул. Темерницкая,"92a, 77, 65, 46, 1",NA,6,"92, 83, 65",47.22014,39.71877,421536.20565,2204329.13693,5,0,1,3,9,50,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895,11.00000,8.00000,90.00000,96.00000
554,1,"168,13368313904",пл. Советов,"99, 92a, 90а, 90, 78, 77, 65, 58, 47, 46, 35а, 35, 33, 1",NA,6,NA,47.22181,39.71910,421721.45971,2204357.13962,14,0,1,0,15,25,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895,10.00000,3.00000,100.00000,96.00000
863,1,"397,7006945924",ул. Б. Садовая,"83, 22, 33, 42, 42а, 45, 46, 49, 5, 77, 1, 92a, 65",NA,6,"45, 49, 65, 77, 83, 92",47.22320,39.71823,421877.05829,2204293.75187,13,0,1,6,20,41,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895,5.00000,22.00000,80.00000,168.00000
980,1,"333,599433162916",ул. М. Горького,"65, 1, 5, 22, 33, 42, 42а, 45, 49, 77, 83, 92a, 46",NA,6,"92, 45, 49, 65, 77, 83",47.22783,39.71625,422394.22327,2204152.15088,13,0,1,6,20,46,ЦЕНТР,,,,,,1,0,-1,,,РљРёСЂРѕРІСЃРєРёР№,,,,administrative,,63499,,9,,,,,,,ru:Кировский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,63499,223.13895,9.00000,17.00000,50.00000,192.00000
967,1,"246,244647204803",ул. Лермонтовская,"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78",NA,6,"47, 49, 65, 77, 83, 92",47.23170,39.71487,422826.16182,2204054.63739,14,0,1,6,21,45,ЦГБ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,18.00000,8.00000,60.00000,168.00000
375,1,"730,945363576955",Общежитие РИСИ,"99, 46, 47, 58, 65, 77, 78, 90, 90а, 35а, 92a, 35, 1, 33",NA,6,"47, 49, 65, 77, 83, 92, 25",47.23933,39.71357,423676.01576,2203970.00098,14,0,1,7,22,13,Нансена центр,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,17.00000,17.00000,90.00000,1.68000
544,1,"351,516015110037",пл. Ленина,"99, 96, 58, 35а, 35, 17, 1",NA,NA,"96, 58, 56, 49, 14",47.24969,39.71180,424829.95613,2203854.76175,7,0,0,5,12,24,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,11.00000,5.00000,40.00000,264.00000
392,1,"470,558965076249",пер. Ашхабадский,"94, 49, 42а, 42, 17, 5, 1",NA,NA,"14, 94, 58, 56, 49",47.24956,39.70573,424823.01241,2203395.02901,7,0,0,5,12,18,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,7.00000,3.00000,40.00000,96.00000
397,1,"383,32902805303",пер. Боевой,"2, 21, 22, 27, 45, 49, 83, 96, 99, 1",NA,NA,"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11",47.25298,39.70207,425207.77097,2203124.21425,10,0,0,13,23,19,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,4.00000,0.60000,40.00000,43.20000
1192,1,"134,21090875293",Школа,"94, 49, 42а, 42, 17, 5, 1",NA,NA,"94, 58, 56, 49, 14",47.24971,39.70048,424846.21177,2202997.87999,7,0,0,5,12,61,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,7.00000,3.00000,40.00000,96.00000
692,1,"214,171488984112",РГУПС,"94, 49, 1",NA,NA,56,47.24981,39.69871,424859.53444,2202864.07506,3,0,0,1,4,27,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,7.00000,3.00000,40.00000,96.00000
691,1,"356,440015255937",РГУПС,"2, 21, 22, 27, 45, 49, 83, 96, 99, 1",NA,NA,"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11",47.25170,39.69818,425070.31343,2202827.41665,10,0,0,13,23,26,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,4.00000,0.60000,40.00000,43.20000
1112,1,"427,950820503521",ул. Цезаря Куникова,"99, 94, 78, 49, 27, 1",NA,NA,"99, 94, 78, 49, 44, 43, 23, 14, 11",47.25344,39.69422,425268.70244,2202530.85543,6,0,0,9,15,54,2-я пятилетка,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,4.00000,0.30000,40.00000,72.00000
1113,1,"638,917110975939",ул. Цезаря Куникова,"49, 27, 1, 99, 96, 83",NA,NA,"99, 96, 78, 49, 44, 43, 23, 14, 11",47.25673,39.69715,425630.80205,2202758.67131,6,0,0,9,15,55,2-я пятилетка,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,1.90000,,25.00000,96.00000
509,1,"392,038943150679",пл. 2-й Пятилетки,"99, 94, 78, 49, 27, 1",NA,NA,"99, 94, 78, 49, 44, 43, 23, 14, 11",47.25977,39.68942,425978.44834,2202179.19950,6,0,0,9,15,21,2-я пятилетка,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,8.00000,,28.00000,12.00000
878,1,"481,168245737643",ул. Вавилова,"99, 96, 94, 49, 1",NA,NA,"14, 99, 96, 94, 49, 43",47.26189,39.68336,426221.76449,2201724.47688,5,0,0,6,11,42,Госпиталь-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,16.00000,,40.00000,28.80000
120,1,"569,126268751387",Баня,"99, 96, 94, 49, 1",NA,NA,"99, 96, 94, 49, 43, 14",47.26612,39.68205,426693.68311,2201633.18113,5,0,0,6,11,1,Вавилова-Особенная,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,,,29.00000,14.40000
503,1,"489,477196577076",пер. Чалтырский,"99, 96, 94, 49, 1",NA,NA,"99, 96, 94, 49, 43, 14",47.26441,39.67495,426512.56716,2201092.69159,5,0,0,6,11,20,Госпиталь-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,1.70000,,30.00000,96.00000
387,1,"67,6216892021696",пер. Авиамоторный,"94, 49, 1, 99, 96",NA,NA,"99, 96, 94, 49, 43, 14",47.26321,39.66989,426385.59639,2200707.51160,5,0,0,6,11,16,Госпиталь-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,9.00000,,30.00000,72.00000
1074,1,"300,622857190435",ул. Северо-Кавказская,"99, 96, 94, 49, 1",NA,NA,"99, 96, 94, 49, 43, 14",47.26266,39.66951,426324.93532,2200677.72294,5,0,0,6,11,49,Госпиталь-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,16.00000,,40.00000,28.80000
1154,1,"360,088277762698",Хоз. магазин,"10, 1",NA,NA,"43, 10",47.26695,39.66584,426806.55674,2200408.03228,2,0,0,2,4,57,Военвед-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,13.00000,2.30000,24.00000,264.00000
1097,1,"33,6111996125403",ул. Тимошенко,"10, 1",NA,NA,"43, 10",47.27014,39.66505,427162.21156,2200354.24523,2,0,0,2,4,51,Военвед-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,12.00000,2.40000,17.00000,1.44000
1032,1,"416,582163302428","ул. Оганова, 23","10, 1",NA,NA,"43, 14, 10",47.27038,39.66478,427189.23875,2200334.26548,2,0,0,3,5,48,Военвед-Оганова,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,16.00000,0.90000,40.00000,168.00000
271,1,"404,740565255558",Каменские сады,"27, 18п, 18л, 10, 1",NA,NA,"43, 10",47.29736,39.67764,430172.34011,2201357.62139,5,0,0,2,7,5,Суворовский,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,,,11.00000,6.72000
795,1,"1626,11164214051",Совхоз СКВО,"27, 18п, 18л, 10, 1",NA,NA,"43, 10",47.30367,39.67705,430874.59845,2201324.75748,5,0,0,2,7,39,Суворовский,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,,,12.00000,64.80000
588,2,"114,196103683399",пос. Автосборочный,2,NA,NA,NA,47.26436,39.74022,426426.19512,2206032.13973,1,0,0,0,1,19,Вертолетный и СКА,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,,,,96.00000
329,2,"301,178606752575",Магазин,2,NA,NA,NA,47.26320,39.73255,426306.51549,2205449.61590,1,0,0,0,1,7,Вертолетный и СКА,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,10.00000,0.60000,26.00000,21.60000
429,2,"511,953209940817",пер. Кольский,2,NA,NA,NA,47.26415,39.72873,426416.77493,2205162.21643,1,0,0,0,1,13,Вертолетный и СКА,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,10.00000,0.60000,26.00000,21.60000
1020,2,"536,043804817289",ул. Нариманова,"18п, 83, 92a, 77, 90а, 2, 21, 22, 33, 45, 46, 47, 63, 65, 90",NA,6,"90, 47, 21, 25, 45, 56, 63, 65, 66, 83, 92, 77",47.26493,39.72051,426513.53218,2204541.54000,15,0,1,12,28,29,Нариманова,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,1.80000,23.00000,40.00000,216.00000
421,2,"486,318109723577",пер. Забайкальский,"90а, 90, 47, 21, 2",NA,NA,"90, 47, 21",47.25669,39.71311,425606.55596,2203966.60268,5,0,0,3,8,11,Ленина,,,,,,1,0,-1,,,Р’РѕСЂРѕС€РёР»РѕРІСЃРєРёР№,,,,administrative,,218439,,9,,,,,,,ru:Ворошиловский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,218439,363.95531,6.00000,1.90000,40.00000,168.00000
582,2,"433,086213181028",Поликлиника,"90а, 90, 47, 21, 2",NA,NA,"90, 47, 21",47.25451,39.70648,425372.39213,2203460.81312,5,0,0,3,8,18,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,6.00000,,30.00000,120.00000
391,2,"419,012507695226",пер. Ашхабадский,"90а, 90, 47, 21, 2",NA,NA,"90, 47, 21",47.25062,39.70639,424940.03823,2203446.92015,5,0,0,3,8,9,Ленина,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,4.00000,0.60000,40.00000,43.20000
3971,2,"326,646526329814",пер. Боевой,"2, 21, 22, 27, 45, 49, 83, 96, 99, 1",NA,NA,"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11",47.25298,39.70207,425207.77097,2203124.21425,10,0,0,13,23,10,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,4.00000,0.60000,40.00000,43.20000
6911,2,"354,45938774497",РГУПС,"2, 21, 22, 27, 45, 49, 83, 96, 99, 1",NA,NA,"21, 14, 99, 23, 38, 43, 44, 45, 49, 78, 90, 96, 11",47.25170,39.69818,425070.31343,2202827.41665,10,0,0,13,23,21,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,4.00000,0.60000,40.00000,43.20000
689,2,"58,2081823692269",РГУПС,"99, 6, 21, 27, 35, 35а, 47, 58, 78, 90, 2, 90а",NA,NA,"99, 11, 21, 23, 38, 43, 44, 47, 58, 78, 90, 6",47.24862,39.69699,424729.38387,2202731.69037,12,0,0,12,24,20,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,8.00000,1.50000,50.00000,168.00000
1180,2,"1060,5683202758",Шеболдаева,"6, 5, 2, 27, 42, 42а, 45, 49, 83, 21, 22",NA,NA,"43, 6, 11, 21, 38, 44, 45, 58, 78, 90, 99, 23",47.24811,39.69716,424672.47314,2202743.62458,11,0,0,12,23,34,РИИЖТ,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,7.00000,3.00000,40.00000,96.00000
535,2,"320,193944637881",пл. Комсомольская,"78, 6, 21, 27, 35, 35а, 47, 51, 2, 61, 90, 90а, 99, 58",NA,NA,"58, 6, 11, 21, 23, 38, 43, 44, 99, 90, 78, 47",47.23698,39.69988,423431.72110,2202929.17436,14,0,0,12,26,15,Комсомольская площадь,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,11.00000,2.80000,60.00000,168.00000
994,2,"498,406460798641",ул. Малюгиной,"83, 5, 6, 9, 21, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",NA,NA,"99, 6, 11, 12, 21, 38, 43, 44, 45, 58, 78, 90",47.22975,39.70346,422623.48495,2203187.05717,15,0,0,12,27,27,ЦЕНТР,,,,,,1,0,-1,,,РћРєС‚СЏР±СЂСЊСЃРєРёР№,,,,administrative,,167851,,9,,,,,,,ru:Октябрьский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,167851,255.69533,11.00000,9.00000,60.00000,144.00000
987,2,"519,888306676651",ул. Максима Горького,"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",NA,NA,"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90",47.22512,39.70555,422106.15900,2203336.89884,14,0,0,11,25,25,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,13.00000,24.00000,70.00000,144.00000
861,2,"109,469719952397",ул. Б. Садовая,"83, 5, 6, 9, 22, 27, 42, 42а, 45, 49, 51, 2, 61, 60",NA,NA,"99, 6, 11, 12, 38, 43, 44, 45, 58, 78, 90",47.22066,39.70759,421607.79895,2203483.29065,14,0,0,11,25,24,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,4.00000,26.00000,90.00000,55.20000
293,2,"309,078751330161",Консерватория,"61, 6, 9, 27, 33, 35, 35а, 47, 51, 2, 60, 75, 90, 90а, 99, 78, 58",NA,NA,"12, 44, 43, 58, 78, 90, 99, 20, 11, 6, 47, 38",47.21968,39.70771,421498.70079,2203490.59853,17,0,0,12,29,6,ЦЕНТР,,,,,,1,0,-1,,,Р›РµРЅРёРЅСЃРєРёР№,,,,administrative,,82173,,9,,,,,,,ru:Ленинский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,82173,421.65193,9.00000,13.00000,80.00000,216.00000
311,3,"606,516016075475",Лесничество,3,NA,NA,NA,47.28091,39.78466,428213.47225,2209423.58885,1,0,0,0,1,13,Орджоникидзе,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,1.40000,,23.00000,14.40000
310,3,"333,579484642862",Лесная школа,3,NA,NA,NA,47.27562,39.78225,427628.16622,2209232.19926,1,0,0,0,1,12,Орджоникидзе,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,5.00000,,30.00000,96.00000
1019,3,"335,003181166735",ул. Мурманская,3,NA,NA,NA,47.27239,39.78069,427270.89289,2209108.62633,1,0,0,0,1,47,Орджоникидзе,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,4.00000,,40.00000,120.00000
950,3,"280,348738744933",ул. Конституционная,3,NA,NA,NA,47.26932,39.77931,426931.19967,2208998.93496,1,0,0,0,1,44,Орджоникидзе,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,,,40.00000,96.00000
837,3,"227,652708583872",ул. 12-го Декабря,3,NA,NA,NA,47.26660,39.77787,426630.48963,2208885.29275,1,0,0,0,1,41,Орджоникидзе,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,6.00000,,40.00000,96.00000
883,3,"219,439791351525",ул. Веры Пановой,"98, 67, 54, 11, 3а, 3",NA,"5, 1","79, 66, 59, 40, 29, 24, 19",47.25659,39.76745,425529.88110,2208079.40204,6,0,2,7,15,43,Сельмаш,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,1.50000,1.80000,30.00000,72.00000
1078,3,"182,441160032615",ул. Сержантова,"54, 11, 3а, 3",NA,"5, 1","79, 66, 59, 40, 29, 24, 19",47.25463,39.76776,425311.61450,2208099.46956,4,0,2,7,13,48,Сельмаш,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,17.00000,5.00000,90.00000,120.00000
779,3,"309,464543680213",Сельмаш,"98, 67, 54, 11, 3а, 3",NA,"5, 1","79, 66, 59, 40, 29, 24, 19",47.25445,39.76536,425294.43744,2207917.49482,6,0,2,7,15,39,Сельмаш,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,20.00000,1.90000,60.00000,12.00000
842,3,"150,66952800755",ул. 1-й Конной Армии,"54, 11, 3а, 3",NA,"5, 1","79, 66, 59, 40, 29, 24, 19",47.25169,39.76487,424988.17700,2207875.61159,4,0,2,7,13,42,Сельмаш,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,14.00000,3.00000,70.00000,168.00000
647,3,"79,9393330297385",пр. Сельмаш,"54, 3а, 3",NA,5,"79, 66, 59, 40, 29, 24, 19",47.24390,39.76541,424121.49514,2207902.96485,3,0,1,7,11,30,Сельмаш,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,10.00000,1.20000,50.00000,264.00000
670,3,"334,602914210588",Пригородный автовокзал,"3а, 7, 54, 67, 98, 3",NA,"9, 1, 5","59, 19, 24, 29, 52, 66, 67, 79, 88, 93, 95, 40",47.24182,39.76184,423894.48019,2207629.06666,6,0,3,12,21,35,Верхняя Нахичевань,,,,,,1,0,-1,,,РџРµСЂРІРѕРјР°Р№СЃРєРёР№,,,,administrative,,186338,,9,,,,,,,ru:Первомайский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,186338,284.48941,7.00000,,80.00000,72.00000
666,3,"335,945225048983",пр. Шолохова,"98, 67, 54, 7, 3а, 3",NA,"9, 1","66, 24, 19, 95, 79",47.23995,39.75808,423691.05013,2207341.12853,6,0,2,5,13,33,Верхняя Нахичевань,,,,,,1,0,-1,,,РџСЂРѕР»РµС‚Р°СЂСЃРєРёР№,,,,administrative,,119516,,9,,,,,,,ru:Пролетарский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,119516,221.93165,3.00000,,70.00000,360.00000
1116,3,"451,083831442164",ул. Ченцова,"98, 67, 54, 7, 3а, 3",NA,"9, 1","95, 79, 66, 24, 19",47.23631,39.75959,423284.58385,2207449.10788,6,0,2,5,13,49,Верхняя Нахичевань,,,,,,1,0,-1,,,РџСЂРѕР»РµС‚Р°СЂСЃРєРёР№,,,,administrative,,119516,,9,,,,,,,ru:Пролетарский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,119516,221.93165,5.00000,1.80000,70.00000,144.00000
3,3,"461,048579616709",13-я линия,"98, 80, 70, 67, 7, 3а, 3",NA,"22, 9, 2, 1","98, 80",47.22966,39.75804,422547.12267,2207320.13283,7,0,4,2,13,1,Верхняя Нахичевань,,,,,,1,0,-1,,,РџСЂРѕР»РµС‚Р°СЂСЃРєРёР№,,,,administrative,,119516,,9,,,,,,,ru:Пролетарский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,119516,221.93165,18.00000,2.70000,60.00000,62.40000
22,3,"141,470878099424",1-я линия,"98, 80, 70, 67, 7, 3а, 3",NA,"22, 9, 2, 1","98, 80",47.22856,39.75216,422431.84174,2206872.92155,7,0,4,2,13,2,Верхняя Нахичевань,,,,,,1,0,-1,,,РџСЂРѕР»РµС‚Р°СЂСЃРєРёР№,,,,administrative,,119516,,9,,,,,,,ru:Пролетарский район (Ростов-на-Дону),,,,,,,,,,,,,,,,,,,,,,,119516,221.93165,16.00000,6.00000,60.00000,192.00000
